N          epsilon    steps      step_time  arma_time  error
5          1e-10      16         1.5437e-05 0.000468   1.0826e-06
10         1e-10      99         3.0616e-05 0.00018    2.6448e-07
15         1e-10      256        2.9961e-05 0.000234   1.2593e-06
20         1e-10      503        3.3322e-05 0.000261   1.4257e-06
25         1e-10      803        1.6024e-05 0.00017    5.6456e-07
30         1e-10      1180       1.5489e-05 0.000514   8.2779e-07
35         1e-10      1615       1.9463e-05 0.00063    1.137e-06 
40         1e-10      2156       2.4523e-05 0.000523   7.8328e-07
45         1e-10      2728       2.7136e-05 0.000526   8.6952e-07
50         1e-10      3373       3.1975e-05 0.000679   5.5177e-07
55         1e-10      4141       3.7872e-05 0.000687   5.3433e-07
60         1e-10      4924       4.3076e-05 0.000789   3.2341e-07
65         1e-10      5845       4.8614e-05 0.001053   4.3441e-07
70         1e-10      6811       5.5112e-05 0.001158   4.3293e-07
75         1e-10      7721       6.3368e-05 0.001405   3.0777e-07
80         1e-10      8911       6.9515e-05 0.001669   5.323e-07 
85         1e-10      10024      7.7609e-05 0.001869   2.8973e-07
90         1e-10      11322      8.6387e-05 0.002176   7.0483e-07
95         1e-10      12541      9.4249e-05 0.002449   6.0105e-07
100        1e-10      14036      0.00010428 0.002751   5.9089e-07
