N          epsilon       steps             step_time
4          1e-10         17                8.05882e-6
10         1e-10         134               5.42537e-6
20         1e-10         573               25.4507e-6
30         1e-10         1354              75.401e-6
40         1e-10         2440              195.799e-6
50         1e-10         3778              380.325e-6
60         1e-10         5510              640.172e-6
70         1e-10         7584              1.02241e-3
80         1e-10         9889              1.47474e-3
90         1e-10         12579             2.18434e-3
100        1e-10         15479             3.02485e-3
