x	v
0	0.0932
0.0099	0.177
0.0198	0.251
0.0297	0.318
0.0396	0.377
0.0495	0.429
0.0594	0.476
0.0693	0.517
0.0792	0.553
0.0891	0.585
0.099	0.613
0.109	0.637
0.119	0.658
0.129	0.676
0.139	0.691
0.149	0.704
0.158	0.714
0.168	0.723
0.178	0.73
0.188	0.735
0.198	0.738
0.208	0.74
0.218	0.741
0.228	0.741
0.238	0.74
0.248	0.738
0.257	0.735
0.267	0.731
0.277	0.727
0.287	0.722
0.297	0.717
0.307	0.711
0.317	0.704
0.327	0.697
0.337	0.69
0.347	0.683
0.356	0.675
0.366	0.667
0.376	0.658
0.386	0.65
0.396	0.641
0.406	0.632
0.416	0.623
0.426	0.613
0.436	0.604
0.446	0.594
0.455	0.584
0.465	0.575
0.475	0.565
0.485	0.555
0.495	0.545
0.505	0.534
0.515	0.524
0.525	0.514
0.535	0.504
0.545	0.493
0.554	0.483
0.564	0.472
0.574	0.462
0.584	0.451
0.594	0.441
0.604	0.43
0.614	0.42
0.624	0.409
0.634	0.398
0.644	0.388
0.653	0.377
0.663	0.366
0.673	0.356
0.683	0.345
0.693	0.334
0.703	0.324
0.713	0.313
0.723	0.302
0.733	0.291
0.743	0.281
0.752	0.27
0.762	0.259
0.772	0.248
0.782	0.238
0.792	0.227
0.802	0.216
0.812	0.205
0.822	0.194
0.832	0.184
0.842	0.173
0.851	0.162
0.861	0.151
0.871	0.14
0.881	0.13
0.891	0.119
0.901	0.108
0.911	0.0973
0.921	0.0865
0.931	0.0757
0.941	0.0649
0.95	0.054
0.96	0.0432
0.97	0.0324
0.98	0.0216
0.99	0.0108
