N          epsilon    steps      step_time  error
4          1e-10      9          3.1111e-06 4.1125e-07
10         1e-10      99         8.202e-06  2.6448e-07
20         1e-10      503        3.5201e-05 1.4257e-06
30         1e-10      1180       7.4058e-05 8.2779e-07
40         1e-10      2156       0.00018538 7.8328e-07
50         1e-10      3373       0.00033185 5.5177e-07
60         1e-10      4924       0.00056905 3.2341e-07
70         1e-10      6811       0.00087597 4.3293e-07
80         1e-10      8911       0.001282   5.323e-07 
90         1e-10      11322      0.0019112  7.0483e-07
100        1e-10      14036      0.0025743  5.9089e-07
