t	earth_x	earth_y	sun_x	sun_y	U	K	Lx	Ly	Lz
0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.000E-02	9.982E-01	6.280E-02	0.000E+00	0.000E+00	-1.184E-04	5.924E-05	0.000E+00	0.000E+00	1.886E-05
2.000E-02	9.925E-01	1.254E-01	0.000E+00	0.000E+00	-1.184E-04	5.926E-05	0.000E+00	0.000E+00	1.886E-05
3.000E-02	9.829E-01	1.875E-01	0.000E+00	0.000E+00	-1.184E-04	5.928E-05	0.000E+00	0.000E+00	1.887E-05
4.000E-02	9.694E-01	2.489E-01	0.000E+00	0.000E+00	-1.183E-04	5.931E-05	0.000E+00	0.000E+00	1.888E-05
5.000E-02	9.520E-01	3.093E-01	0.000E+00	0.000E+00	-1.183E-04	5.933E-05	0.000E+00	0.000E+00	1.889E-05
6.000E-02	9.310E-01	3.686E-01	0.000E+00	0.000E+00	-1.183E-04	5.935E-05	0.000E+00	0.000E+00	1.889E-05
7.000E-02	9.062E-01	4.264E-01	0.000E+00	0.000E+00	-1.183E-04	5.936E-05	0.000E+00	0.000E+00	1.890E-05
8.000E-02	8.779E-01	4.826E-01	0.000E+00	0.000E+00	-1.182E-04	5.938E-05	0.000E+00	0.000E+00	1.891E-05
9.000E-02	8.461E-01	5.369E-01	0.000E+00	0.000E+00	-1.182E-04	5.939E-05	0.000E+00	0.000E+00	1.892E-05
1.000E-01	8.110E-01	5.891E-01	0.000E+00	0.000E+00	-1.182E-04	5.941E-05	0.000E+00	0.000E+00	1.892E-05
1.100E-01	7.727E-01	6.390E-01	0.000E+00	0.000E+00	-1.181E-04	5.941E-05	0.000E+00	0.000E+00	1.893E-05
1.200E-01	7.313E-01	6.864E-01	0.000E+00	0.000E+00	-1.181E-04	5.942E-05	0.000E+00	0.000E+00	1.894E-05
1.300E-01	6.871E-01	7.312E-01	0.000E+00	0.000E+00	-1.180E-04	5.942E-05	0.000E+00	0.000E+00	1.895E-05
1.400E-01	6.402E-01	7.731E-01	0.000E+00	0.000E+00	-1.180E-04	5.942E-05	0.000E+00	0.000E+00	1.895E-05
1.500E-01	5.907E-01	8.121E-01	0.000E+00	0.000E+00	-1.179E-04	5.942E-05	0.000E+00	0.000E+00	1.896E-05
1.600E-01	5.390E-01	8.478E-01	0.000E+00	0.000E+00	-1.179E-04	5.942E-05	0.000E+00	0.000E+00	1.897E-05
1.700E-01	4.851E-01	8.803E-01	0.000E+00	0.000E+00	-1.178E-04	5.941E-05	0.000E+00	0.000E+00	1.897E-05
1.800E-01	4.293E-01	9.094E-01	0.000E+00	0.000E+00	-1.178E-04	5.939E-05	0.000E+00	0.000E+00	1.898E-05
1.900E-01	3.718E-01	9.350E-01	0.000E+00	0.000E+00	-1.177E-04	5.937E-05	0.000E+00	0.000E+00	1.899E-05
2.000E-01	3.129E-01	9.569E-01	0.000E+00	0.000E+00	-1.176E-04	5.935E-05	0.000E+00	0.000E+00	1.900E-05
2.100E-01	2.527E-01	9.752E-01	0.000E+00	0.000E+00	-1.176E-04	5.933E-05	0.000E+00	0.000E+00	1.900E-05
2.200E-01	1.915E-01	9.897E-01	0.000E+00	0.000E+00	-1.175E-04	5.930E-05	0.000E+00	0.000E+00	1.901E-05
2.300E-01	1.296E-01	1.000E+00	0.000E+00	0.000E+00	-1.174E-04	5.926E-05	0.000E+00	0.000E+00	1.902E-05
2.400E-01	6.711E-02	1.007E+00	0.000E+00	0.000E+00	-1.173E-04	5.922E-05	0.000E+00	0.000E+00	1.903E-05
2.500E-01	4.371E-03	1.010E+00	0.000E+00	0.000E+00	-1.172E-04	5.918E-05	0.000E+00	0.000E+00	1.903E-05
2.600E-01	-5.841E-02	1.009E+00	0.000E+00	0.000E+00	-1.172E-04	5.914E-05	0.000E+00	0.000E+00	1.904E-05
2.700E-01	-1.210E-01	1.005E+00	0.000E+00	0.000E+00	-1.171E-04	5.908E-05	0.000E+00	0.000E+00	1.905E-05
2.800E-01	-1.831E-01	9.960E-01	0.000E+00	0.000E+00	-1.170E-04	5.903E-05	0.000E+00	0.000E+00	1.906E-05
2.900E-01	-2.446E-01	9.836E-01	0.000E+00	0.000E+00	-1.169E-04	5.897E-05	0.000E+00	0.000E+00	1.906E-05
3.000E-01	-3.052E-01	9.675E-01	0.000E+00	0.000E+00	-1.168E-04	5.891E-05	0.000E+00	0.000E+00	1.907E-05
3.100E-01	-3.646E-01	9.478E-01	0.000E+00	0.000E+00	-1.166E-04	5.884E-05	0.000E+00	0.000E+00	1.908E-05
3.200E-01	-4.227E-01	9.244E-01	0.000E+00	0.000E+00	-1.165E-04	5.877E-05	0.000E+00	0.000E+00	1.908E-05
3.300E-01	-4.792E-01	8.976E-01	0.000E+00	0.000E+00	-1.164E-04	5.870E-05	0.000E+00	0.000E+00	1.909E-05
3.400E-01	-5.340E-01	8.674E-01	0.000E+00	0.000E+00	-1.163E-04	5.862E-05	0.000E+00	0.000E+00	1.910E-05
3.500E-01	-5.867E-01	8.339E-01	0.000E+00	0.000E+00	-1.162E-04	5.854E-05	0.000E+00	0.000E+00	1.911E-05
3.600E-01	-6.374E-01	7.974E-01	0.000E+00	0.000E+00	-1.160E-04	5.846E-05	0.000E+00	0.000E+00	1.911E-05
3.700E-01	-6.856E-01	7.578E-01	0.000E+00	0.000E+00	-1.159E-04	5.837E-05	0.000E+00	0.000E+00	1.912E-05
3.800E-01	-7.313E-01	7.154E-01	0.000E+00	0.000E+00	-1.158E-04	5.828E-05	0.000E+00	0.000E+00	1.913E-05
3.900E-01	-7.744E-01	6.704E-01	0.000E+00	0.000E+00	-1.156E-04	5.819E-05	0.000E+00	0.000E+00	1.913E-05
4.000E-01	-8.146E-01	6.229E-01	0.000E+00	0.000E+00	-1.155E-04	5.809E-05	0.000E+00	0.000E+00	1.914E-05
4.100E-01	-8.519E-01	5.731E-01	0.000E+00	0.000E+00	-1.154E-04	5.800E-05	0.000E+00	0.000E+00	1.915E-05
4.200E-01	-8.861E-01	5.212E-01	0.000E+00	0.000E+00	-1.152E-04	5.790E-05	0.000E+00	0.000E+00	1.916E-05
4.300E-01	-9.170E-01	4.674E-01	0.000E+00	0.000E+00	-1.151E-04	5.780E-05	0.000E+00	0.000E+00	1.916E-05
4.400E-01	-9.447E-01	4.119E-01	0.000E+00	0.000E+00	-1.149E-04	5.770E-05	0.000E+00	0.000E+00	1.917E-05
4.500E-01	-9.689E-01	3.548E-01	0.000E+00	0.000E+00	-1.148E-04	5.759E-05	0.000E+00	0.000E+00	1.918E-05
