t	earth_x	earth_y	sun_x	sun_y	U	K	Lx	Ly	Lz
0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.000E-02	9.980E-01	6.279E-02	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.000E-02	9.921E-01	1.253E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.000E-02	9.823E-01	1.874E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
4.000E-02	9.686E-01	2.487E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
5.000E-02	9.511E-01	3.090E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
6.000E-02	9.298E-01	3.681E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
7.000E-02	9.048E-01	4.258E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
8.000E-02	8.763E-01	4.818E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
9.000E-02	8.443E-01	5.358E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.000E-01	8.090E-01	5.878E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.100E-01	7.705E-01	6.374E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.200E-01	7.290E-01	6.846E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.300E-01	6.845E-01	7.290E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.400E-01	6.374E-01	7.705E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.500E-01	5.878E-01	8.090E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.600E-01	5.358E-01	8.443E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.700E-01	4.818E-01	8.763E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.800E-01	4.258E-01	9.048E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
1.900E-01	3.681E-01	9.298E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.000E-01	3.090E-01	9.511E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.100E-01	2.487E-01	9.686E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.200E-01	1.874E-01	9.823E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.300E-01	1.253E-01	9.921E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.400E-01	6.279E-02	9.980E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.500E-01	9.316E-07	1.000E+00	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.600E-01	-6.279E-02	9.980E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.700E-01	-1.253E-01	9.921E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.800E-01	-1.874E-01	9.823E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
2.900E-01	-2.487E-01	9.686E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.000E-01	-3.090E-01	9.511E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.100E-01	-3.681E-01	9.298E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.200E-01	-4.258E-01	9.048E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.300E-01	-4.818E-01	8.763E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.400E-01	-5.358E-01	8.443E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.500E-01	-5.878E-01	8.090E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.600E-01	-6.374E-01	7.705E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.700E-01	-6.845E-01	7.290E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.800E-01	-7.290E-01	6.846E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
3.900E-01	-7.705E-01	6.375E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
4.000E-01	-8.090E-01	5.878E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
4.100E-01	-8.443E-01	5.359E-01	0.000E+00	0.000E+00	-1.184E-04	5.922E-05	0.000E+00	0.000E+00	1.885E-05
