v0	t	earth_x	earth_y	U	K
1.40	0.000E+00	1.000E+00	0.000E+00	-1.184E-04	1.161E-04
1.40	1.000E+00	-2.832E+00	3.730E+00	-2.529E-05	2.307E-05
1.40	2.000E+00	-5.987E+00	4.867E+00	-1.535E-05	1.307E-05
1.40	3.000E+00	-8.598E+00	5.534E+00	-1.158E-05	9.284E-06
1.40	4.000E+00	-1.088E+01	5.988E+00	-9.534E-06	7.230E-06
1.40	5.000E+00	-1.294E+01	6.314E+00	-8.224E-06	5.917E-06
1.40	6.000E+00	-1.483E+01	6.556E+00	-7.304E-06	4.997E-06
1.40	7.000E+00	-1.658E+01	6.736E+00	-6.619E-06	4.310E-06
1.40	8.000E+00	-1.821E+01	6.870E+00	-6.085E-06	3.776E-06
1.40	9.000E+00	-1.975E+01	6.967E+00	-5.656E-06	3.346E-06
1.40	1.000E+01	-2.120E+01	7.033E+00	-5.303E-06	2.993E-06
1.40	1.100E+01	-2.257E+01	7.075E+00	-5.007E-06	2.697E-06
1.40	1.200E+01	-2.388E+01	7.095E+00	-4.754E-06	2.444E-06
1.40	1.300E+01	-2.513E+01	7.097E+00	-4.536E-06	2.226E-06
1.40	1.400E+01	-2.632E+01	7.083E+00	-4.346E-06	2.035E-06
1.40	1.500E+01	-2.746E+01	7.056E+00	-4.178E-06	1.867E-06
1.40	1.600E+01	-2.855E+01	7.016E+00	-4.029E-06	1.718E-06
1.40	1.700E+01	-2.959E+01	6.965E+00	-3.895E-06	1.584E-06
1.40	1.800E+01	-3.060E+01	6.905E+00	-3.775E-06	1.464E-06
1.40	1.900E+01	-3.157E+01	6.836E+00	-3.667E-06	1.356E-06
1.40	2.000E+01	-3.250E+01	6.758E+00	-3.568E-06	1.257E-06
1.40	2.100E+01	-3.339E+01	6.674E+00	-3.478E-06	1.167E-06
1.40	2.200E+01	-3.425E+01	6.582E+00	-3.396E-06	1.084E-06
1.40	2.300E+01	-3.508E+01	6.485E+00	-3.320E-06	1.008E-06
1.40	2.400E+01	-3.588E+01	6.382E+00	-3.250E-06	9.385E-07
1.40	2.500E+01	-3.665E+01	6.274E+00	-3.185E-06	8.739E-07
1.40	2.600E+01	-3.739E+01	6.160E+00	-3.125E-06	8.140E-07
1.40	2.700E+01	-3.810E+01	6.043E+00	-3.070E-06	7.584E-07
1.40	2.800E+01	-3.879E+01	5.921E+00	-3.018E-06	7.067E-07
1.40	2.900E+01	-3.945E+01	5.795E+00	-2.970E-06	6.585E-07
1.40	3.000E+01	-4.009E+01	5.666E+00	-2.925E-06	6.135E-07
1.40	3.100E+01	-4.071E+01	5.534E+00	-2.883E-06	5.715E-07
