t	earth_x	earth_y	earth_vx	earth_vy	sun_x	sun_y	jupiter_x	jupiter_y	K	U
0.000E+00	1.000E+00	0.000E+00	0.000E+00	6.283E+00	0.000E+00	0.000E+00	5.200E+00	0.000E+00	3.802E-02	-7.604E-02
1.000E-02	9.980E-01	6.279E-02	-3.943E-01	6.271E+00	0.000E+00	0.000E+00	5.200E+00	2.755E-02	3.802E-02	-7.604E-02
2.000E-02	9.921E-01	1.253E-01	-7.870E-01	6.234E+00	0.000E+00	0.000E+00	5.200E+00	5.511E-02	3.802E-02	-7.604E-02
3.000E-02	9.823E-01	1.874E-01	-1.177E+00	6.172E+00	0.000E+00	0.000E+00	5.199E+00	8.266E-02	3.802E-02	-7.604E-02
4.000E-02	9.686E-01	2.487E-01	-1.562E+00	6.086E+00	0.000E+00	0.000E+00	5.199E+00	1.102E-01	3.802E-02	-7.604E-02
5.000E-02	9.511E-01	3.090E-01	-1.940E+00	5.976E+00	0.000E+00	0.000E+00	5.198E+00	1.378E-01	3.802E-02	-7.604E-02
6.000E-02	9.298E-01	3.681E-01	-2.312E+00	5.842E+00	0.000E+00	0.000E+00	5.197E+00	1.653E-01	3.802E-02	-7.604E-02
7.000E-02	9.049E-01	4.258E-01	-2.674E+00	5.685E+00	0.000E+00	0.000E+00	5.196E+00	1.928E-01	3.802E-02	-7.604E-02
8.000E-02	8.764E-01	4.818E-01	-3.025E+00	5.506E+00	0.000E+00	0.000E+00	5.195E+00	2.204E-01	3.802E-02	-7.604E-02
9.000E-02	8.444E-01	5.358E-01	-3.365E+00	5.305E+00	0.000E+00	0.000E+00	5.194E+00	2.479E-01	3.802E-02	-7.604E-02
1.000E-01	8.091E-01	5.878E-01	-3.691E+00	5.083E+00	0.000E+00	0.000E+00	5.193E+00	2.754E-01	3.802E-02	-7.604E-02
1.100E-01	7.707E-01	6.374E-01	-4.002E+00	4.841E+00	0.000E+00	0.000E+00	5.191E+00	3.029E-01	3.802E-02	-7.604E-02
1.200E-01	7.291E-01	6.846E-01	-4.298E+00	4.580E+00	0.000E+00	0.000E+00	5.189E+00	3.304E-01	3.802E-02	-7.604E-02
1.300E-01	6.847E-01	7.290E-01	-4.577E+00	4.301E+00	0.000E+00	0.000E+00	5.188E+00	3.579E-01	3.802E-02	-7.604E-02
1.400E-01	6.377E-01	7.705E-01	-4.838E+00	4.005E+00	0.000E+00	0.000E+00	5.186E+00	3.854E-01	3.802E-02	-7.604E-02
1.500E-01	5.880E-01	8.090E-01	-5.080E+00	3.694E+00	0.000E+00	0.000E+00	5.184E+00	4.129E-01	3.802E-02	-7.604E-02
1.600E-01	5.361E-01	8.444E-01	-5.301E+00	3.367E+00	0.000E+00	0.000E+00	5.181E+00	4.403E-01	3.802E-02	-7.604E-02
1.700E-01	4.821E-01	8.763E-01	-5.502E+00	3.028E+00	0.000E+00	0.000E+00	5.179E+00	4.678E-01	3.802E-02	-7.604E-02
1.800E-01	4.262E-01	9.049E-01	-5.681E+00	2.676E+00	0.000E+00	0.000E+00	5.176E+00	4.952E-01	3.802E-02	-7.604E-02
1.900E-01	3.685E-01	9.298E-01	-5.838E+00	2.314E+00	0.000E+00	0.000E+00	5.174E+00	5.226E-01	3.802E-02	-7.604E-02
2.000E-01	3.095E-01	9.511E-01	-5.971E+00	1.943E+00	0.000E+00	0.000E+00	5.171E+00	5.500E-01	3.802E-02	-7.604E-02
2.100E-01	2.492E-01	9.687E-01	-6.081E+00	1.564E+00	0.000E+00	0.000E+00	5.168E+00	5.774E-01	3.802E-02	-7.604E-02
2.200E-01	1.879E-01	9.824E-01	-6.168E+00	1.179E+00	0.000E+00	0.000E+00	5.165E+00	6.048E-01	3.802E-02	-7.604E-02
2.300E-01	1.259E-01	9.922E-01	-6.229E+00	7.895E-01	0.000E+00	0.000E+00	5.161E+00	6.322E-01	3.802E-02	-7.604E-02
2.400E-01	6.342E-02	9.982E-01	-6.267E+00	3.967E-01	0.000E+00	0.000E+00	5.158E+00	6.595E-01	3.802E-02	-7.604E-02
