t	earth_x	earth_y	earth_vx	earth_vy	sun_x	sun_y	jupiter_x	jupiter_y	K	U
0.000E+00	1.000E+00	0.000E+00	0.000E+00	6.283E+00	0.000E+00	0.000E+00	5.200E+00	0.000E+00	3.855E-03	-7.710E-03
1.000E-02	9.980E-01	6.279E-02	-3.945E-01	6.271E+00	0.000E+00	0.000E+00	5.200E+00	2.755E-02	3.855E-03	-7.710E-03
2.000E-02	9.921E-01	1.253E-01	-7.874E-01	6.234E+00	0.000E+00	0.000E+00	5.200E+00	5.511E-02	3.855E-03	-7.710E-03
3.000E-02	9.823E-01	1.874E-01	-1.177E+00	6.172E+00	0.000E+00	0.000E+00	5.199E+00	8.266E-02	3.855E-03	-7.710E-03
4.000E-02	9.686E-01	2.487E-01	-1.562E+00	6.086E+00	0.000E+00	0.000E+00	5.199E+00	1.102E-01	3.855E-03	-7.710E-03
5.000E-02	9.511E-01	3.090E-01	-1.941E+00	5.976E+00	0.000E+00	0.000E+00	5.198E+00	1.378E-01	3.855E-03	-7.710E-03
6.000E-02	9.298E-01	3.681E-01	-2.313E+00	5.842E+00	0.000E+00	0.000E+00	5.197E+00	1.653E-01	3.855E-03	-7.710E-03
7.000E-02	9.048E-01	4.258E-01	-2.675E+00	5.685E+00	0.000E+00	0.000E+00	5.196E+00	1.928E-01	3.855E-03	-7.710E-03
8.000E-02	8.763E-01	4.818E-01	-3.027E+00	5.506E+00	0.000E+00	0.000E+00	5.195E+00	2.204E-01	3.855E-03	-7.710E-03
9.000E-02	8.443E-01	5.358E-01	-3.366E+00	5.305E+00	0.000E+00	0.000E+00	5.194E+00	2.479E-01	3.855E-03	-7.710E-03
1.000E-01	8.090E-01	5.878E-01	-3.693E+00	5.083E+00	0.000E+00	0.000E+00	5.193E+00	2.754E-01	3.855E-03	-7.710E-03
1.100E-01	7.705E-01	6.374E-01	-4.005E+00	4.841E+00	0.000E+00	0.000E+00	5.191E+00	3.029E-01	3.855E-03	-7.710E-03
1.200E-01	7.290E-01	6.846E-01	-4.301E+00	4.580E+00	0.000E+00	0.000E+00	5.189E+00	3.304E-01	3.855E-03	-7.710E-03
1.300E-01	6.846E-01	7.290E-01	-4.580E+00	4.301E+00	0.000E+00	0.000E+00	5.188E+00	3.579E-01	3.855E-03	-7.710E-03
1.400E-01	6.374E-01	7.705E-01	-4.841E+00	4.005E+00	0.000E+00	0.000E+00	5.186E+00	3.854E-01	3.855E-03	-7.710E-03
1.500E-01	5.878E-01	8.090E-01	-5.083E+00	3.693E+00	0.000E+00	0.000E+00	5.184E+00	4.129E-01	3.855E-03	-7.710E-03
1.600E-01	5.359E-01	8.443E-01	-5.305E+00	3.367E+00	0.000E+00	0.000E+00	5.181E+00	4.403E-01	3.855E-03	-7.710E-03
1.700E-01	4.818E-01	8.763E-01	-5.506E+00	3.027E+00	0.000E+00	0.000E+00	5.179E+00	4.678E-01	3.855E-03	-7.710E-03
1.800E-01	4.258E-01	9.048E-01	-5.685E+00	2.675E+00	0.000E+00	0.000E+00	5.176E+00	4.952E-01	3.855E-03	-7.710E-03
1.900E-01	3.682E-01	9.298E-01	-5.841E+00	2.313E+00	0.000E+00	0.000E+00	5.174E+00	5.226E-01	3.855E-03	-7.710E-03
2.000E-01	3.091E-01	9.511E-01	-5.975E+00	1.942E+00	0.000E+00	0.000E+00	5.171E+00	5.500E-01	3.855E-03	-7.710E-03
2.100E-01	2.487E-01	9.686E-01	-6.085E+00	1.563E+00	0.000E+00	0.000E+00	5.168E+00	5.774E-01	3.855E-03	-7.710E-03
2.200E-01	1.874E-01	9.823E-01	-6.171E+00	1.178E+00	0.000E+00	0.000E+00	5.165E+00	6.048E-01	3.855E-03	-7.710E-03
2.300E-01	1.254E-01	9.921E-01	-6.233E+00	7.877E-01	0.000E+00	0.000E+00	5.161E+00	6.322E-01	3.855E-03	-7.710E-03
2.400E-01	6.285E-02	9.980E-01	-6.270E+00	3.948E-01	0.000E+00	0.000E+00	5.158E+00	6.595E-01	3.855E-03	-7.710E-03
2.500E-01	6.790E-05	1.000E+00	-6.283E+00	2.931E-04	0.000E+00	0.000E+00	5.154E+00	6.868E-01	3.855E-03	-7.710E-03
2.600E-01	-6.272E-02	9.981E-01	-6.270E+00	-3.942E-01	0.000E+00	0.000E+00	5.151E+00	7.141E-01	3.855E-03	-7.710E-03
2.700E-01	-1.253E-01	9.921E-01	-6.233E+00	-7.872E-01	0.000E+00	0.000E+00	5.147E+00	7.414E-01	3.855E-03	-7.710E-03
2.800E-01	-1.873E-01	9.823E-01	-6.171E+00	-1.177E+00	0.000E+00	0.000E+00	5.143E+00	7.687E-01	3.855E-03	-7.710E-03
2.900E-01	-2.486E-01	9.686E-01	-6.085E+00	-1.562E+00	0.000E+00	0.000E+00	5.139E+00	7.959E-01	3.855E-03	-7.710E-03
3.000E-01	-3.089E-01	9.511E-01	-5.975E+00	-1.941E+00	0.000E+00	0.000E+00	5.134E+00	8.231E-01	3.855E-03	-7.710E-03
3.100E-01	-3.680E-01	9.298E-01	-5.842E+00	-2.313E+00	0.000E+00	0.000E+00	5.130E+00	8.503E-01	3.855E-03	-7.710E-03
3.200E-01	-4.257E-01	9.049E-01	-5.685E+00	-2.675E+00	0.000E+00	0.000E+00	5.125E+00	8.775E-01	3.855E-03	-7.710E-03
3.300E-01	-4.817E-01	8.764E-01	-5.506E+00	-3.027E+00	0.000E+00	0.000E+00	5.121E+00	9.046E-01	3.855E-03	-7.710E-03
3.400E-01	-5.357E-01	8.444E-01	-5.305E+00	-3.366E+00	0.000E+00	0.000E+00	5.116E+00	9.318E-01	3.855E-03	-7.710E-03
3.500E-01	-5.877E-01	8.091E-01	-5.083E+00	-3.693E+00	0.000E+00	0.000E+00	5.111E+00	9.589E-01	3.855E-03	-7.710E-03
3.600E-01	-6.373E-01	7.706E-01	-4.841E+00	-4.005E+00	0.000E+00	0.000E+00	5.106E+00	9.859E-01	3.855E-03	-7.710E-03
3.700E-01	-6.844E-01	7.290E-01	-4.580E+00	-4.301E+00	0.000E+00	0.000E+00	5.100E+00	1.013E+00	3.855E-03	-7.710E-03
3.800E-01	-7.289E-01	6.846E-01	-4.301E+00	-4.580E+00	0.000E+00	0.000E+00	5.095E+00	1.040E+00	3.855E-03	-7.710E-03
3.900E-01	-7.704E-01	6.375E-01	-4.005E+00	-4.841E+00	0.000E+00	0.000E+00	5.089E+00	1.067E+00	3.855E-03	-7.710E-03
4.000E-01	-8.089E-01	5.878E-01	-3.693E+00	-5.083E+00	0.000E+00	0.000E+00	5.084E+00	1.094E+00	3.855E-03	-7.710E-03
4.100E-01	-8.442E-01	5.359E-01	-3.366E+00	-5.305E+00	0.000E+00	0.000E+00	5.078E+00	1.121E+00	3.855E-03	-7.710E-03
4.200E-01	-8.762E-01	4.818E-01	-3.027E+00	-5.506E+00	0.000E+00	0.000E+00	5.072E+00	1.148E+00	3.855E-03	-7.710E-03
4.300E-01	-9.047E-01	4.258E-01	-2.675E+00	-5.685E+00	0.000E+00	0.000E+00	5.066E+00	1.175E+00	3.855E-03	-7.710E-03
4.400E-01	-9.297E-01	3.682E-01	-2.313E+00	-5.842E+00	0.000E+00	0.000E+00	5.059E+00	1.201E+00	3.855E-03	-7.710E-03
