body	t	x	y	z
0	0.000E+00	3.547E-03	3.471E-03	-1.594E-04
1	0.000E+00	-3.840E-01	-1.571E-01	2.227E-29
2	0.000E+00	3.670E-01	-6.268E-01	-2.977E-02
3	0.000E+00	8.581E-01	5.124E-01	-1.815E-04
4	0.000E+00	8.562E-01	5.142E-01	-2.839E-04
5	0.000E+00	1.230E+00	-6.306E-01	-4.355E-02
6	0.000E+00	-5.423E+00	-5.180E-01	1.234E-01
7	0.000E+00	-2.221E+00	-9.786E+00	2.585E-01
8	0.000E+00	1.845E+01	7.593E+00	-2.108E-01
9	0.000E+00	2.827E+01	-9.895E+00	-4.477E-01
0	2.500E-02	3.529E-03	3.533E-03	-1.590E-04
1	2.500E-02	-2.833E-01	-3.485E-01	-2.157E-02
2	2.500E-02	5.125E-01	-5.160E-01	-3.665E-02
3	2.500E-02	7.647E-01	6.400E-01	-1.896E-04
4	2.500E-02	7.636E-01	6.375E-01	4.987E-05
5	2.500E-02	1.288E+00	-5.033E-01	-4.230E-02
6	2.500E-02	-5.417E+00	-5.833E-01	1.236E-01
7	2.500E-02	-2.174E+00	-9.798E+00	2.569E-01
8	2.500E-02	1.844E+01	7.624E+00	-2.105E-01
9	2.500E-02	2.828E+01	-9.868E+00	-4.485E-01
0	5.000E-02	3.509E-03	3.594E-03	-1.586E-04
1	5.000E-02	-1.068E-01	-4.492E-01	-3.770E-02
2	5.000E-02	6.256E-01	-3.722E-01	-4.121E-02
3	5.000E-02	6.522E-01	7.514E-01	-1.890E-04
4	5.000E-02	6.546E-01	7.514E-01	-2.675E-04
5	5.000E-02	1.334E+00	-3.713E-01	-4.066E-02
6	5.000E-02	-5.410E+00	-6.485E-01	1.237E-01
7	5.000E-02	-2.127E+00	-9.809E+00	2.552E-01
8	5.000E-02	1.842E+01	7.656E+00	-2.102E-01
9	5.000E-02	2.829E+01	-9.841E+00	-4.493E-01
0	7.500E-02	3.489E-03	3.655E-03	-1.582E-04
1	7.500E-02	9.625E-02	-4.414E-01	-4.484E-02
2	7.500E-02	6.992E-01	-2.045E-01	-4.316E-02
3	7.500E-02	5.232E-01	8.439E-01	-1.913E-04
4	7.500E-02	5.214E-01	8.457E-01	-2.819E-04
5	7.500E-02	1.367E+00	-2.358E-01	-3.863E-02
6	7.500E-02	-5.402E+00	-7.136E-01	1.238E-01
7	7.500E-02	-2.080E+00	-9.819E+00	2.535E-01
8	7.500E-02	1.841E+01	7.687E+00	-2.099E-01
9	7.500E-02	2.830E+01	-9.814E+00	-4.501E-01
0	1.000E-01	3.468E-03	3.717E-03	-1.578E-04
1	1.000E-01	2.742E-01	-3.197E-01	-4.049E-02
2	1.000E-01	7.284E-01	-2.359E-02	-4.236E-02
