t	x	y	angle
0.0000E+00	3.0750E-01	0.0000E+00	0.0000E+00
2.4073E-01	3.0750E-01	3.1711E-06	5.9086E-04
7.2219E-01	3.0750E-01	-2.9268E-06	-5.4535E-04
9.6293E-01	3.0750E-01	2.4422E-07	4.5504E-05
1.6851E+00	3.0750E-01	-2.6826E-06	-4.9985E-04
1.9259E+00	3.0750E-01	4.8844E-07	9.1009E-05
2.6480E+00	3.0750E-01	-2.4384E-06	-4.5434E-04
2.8888E+00	3.0750E-01	7.3266E-07	1.3651E-04
3.6110E+00	3.0750E-01	-2.1942E-06	-4.0884E-04
3.8517E+00	3.0750E-01	9.7688E-07	1.8202E-04
4.5739E+00	3.0750E-01	-1.9500E-06	-3.6333E-04
4.8146E+00	3.0750E-01	1.2211E-06	2.2752E-04
5.5368E+00	3.0750E-01	-1.7057E-06	-3.1783E-04
5.7776E+00	3.0750E-01	1.4653E-06	2.7303E-04
6.4998E+00	3.0750E-01	-1.4615E-06	-2.7232E-04
6.7405E+00	3.0750E-01	1.7095E-06	3.1853E-04
7.4627E+00	3.0750E-01	-1.2173E-06	-2.2682E-04
7.7034E+00	3.0750E-01	1.9538E-06	3.6404E-04
8.4256E+00	3.0750E-01	-9.7308E-07	-1.8131E-04
8.6663E+00	3.0750E-01	2.1980E-06	4.0954E-04
9.3885E+00	3.0750E-01	-7.2886E-07	-1.3581E-04
9.6293E+00	3.0750E-01	2.4422E-06	4.5505E-04
1.0351E+01	3.0750E-01	-4.8463E-07	-9.0301E-05
1.0592E+01	3.0750E-01	2.6864E-06	5.0056E-04
1.1314E+01	3.0750E-01	-2.4041E-07	-4.4795E-05
1.1555E+01	3.0750E-01	2.9306E-06	5.4606E-04
1.2037E+01	3.0750E-01	-3.1672E-06	-5.9015E-04
1.2277E+01	3.0750E-01	3.8094E-09	7.0980E-07
1.2518E+01	3.0750E-01	3.1749E-06	5.9157E-04
1.3000E+01	3.0750E-01	-2.9230E-06	-5.4464E-04
1.3240E+01	3.0750E-01	2.4803E-07	4.6215E-05
1.3962E+01	3.0750E-01	-2.6788E-06	-4.9914E-04
1.4203E+01	3.0750E-01	4.9225E-07	9.1720E-05
1.4925E+01	3.0750E-01	-2.4346E-06	-4.5363E-04
1.5166E+01	3.0750E-01	7.3647E-07	1.3723E-04
1.5888E+01	3.0750E-01	-2.1904E-06	-4.0812E-04
1.6129E+01	3.0750E-01	9.8069E-07	1.8273E-04
1.6851E+01	3.0750E-01	-1.9461E-06	-3.6262E-04
1.7092E+01	3.0750E-01	1.2249E-06	2.2824E-04
1.7814E+01	3.0750E-01	-1.7019E-06	-3.1711E-04
1.8055E+01	3.0750E-01	1.4691E-06	2.7374E-04
1.8777E+01	3.0750E-01	-1.4577E-06	-2.7161E-04
1.9018E+01	3.0750E-01	1.7134E-06	3.1925E-04
1.9740E+01	3.0750E-01	-1.2135E-06	-2.2610E-04
1.9981E+01	3.0750E-01	1.9576E-06	3.6475E-04
2.0703E+01	3.0750E-01	-9.6923E-07	-1.8059E-04
2.0944E+01	3.0750E-01	2.2018E-06	4.1026E-04
2.1666E+01	3.0750E-01	-7.2499E-07	-1.3509E-04
2.1907E+01	3.0750E-01	2.4461E-06	4.5577E-04
2.2629E+01	3.0750E-01	-4.8077E-07	-8.9580E-05
2.2870E+01	3.0750E-01	2.6903E-06	5.0128E-04
2.3592E+01	3.0750E-01	-2.3654E-07	-4.4074E-05
2.3832E+01	3.0750E-01	2.9345E-06	5.4678E-04
2.4314E+01	3.0750E-01	-3.1634E-06	-5.8942E-04
2.4555E+01	3.0750E-01	7.6949E-09	1.4338E-06
2.4795E+01	3.0750E-01	3.1788E-06	5.9229E-04
2.5277E+01	3.0750E-01	-2.9191E-06	-5.4391E-04
2.5518E+01	3.0750E-01	2.5193E-07	4.6942E-05
2.6240E+01	3.0750E-01	-2.6749E-06	-4.9841E-04
2.6480E+01	3.0750E-01	4.9616E-07	9.2449E-05
2.7203E+01	3.0750E-01	-2.4307E-06	-4.5290E-04
2.7443E+01	3.0750E-01	7.4040E-07	1.3796E-04
2.8166E+01	3.0750E-01	-2.1864E-06	-4.0739E-04
2.8406E+01	3.0750E-01	9.8463E-07	1.8346E-04
2.9129E+01	3.0750E-01	-1.9422E-06	-3.6189E-04
2.9369E+01	3.0750E-01	1.2289E-06	2.2897E-04
3.0091E+01	3.0750E-01	-1.6980E-06	-3.1638E-04
3.0332E+01	3.0750E-01	1.4731E-06	2.7448E-04
3.1054E+01	3.0750E-01	-1.4538E-06	-2.7088E-04
3.1295E+01	3.0750E-01	1.7173E-06	3.1998E-04
3.2017E+01	3.0750E-01	-1.2095E-06	-2.2537E-04
3.2258E+01	3.0750E-01	1.9615E-06	3.6549E-04
3.2980E+01	3.0750E-01	-9.6532E-07	-1.7987E-04
