t	x	y	angle
0.0000E+00	3.0750E-01	0.0000E+00	0.0000E+00
7.2219E-01	3.0750E-01	-1.1489E-06	-2.1407E-04
9.6293E-01	3.0750E-01	2.6148E-06	4.8721E-04
1.4444E+00	3.0750E-01	-2.2978E-06	-4.2814E-04
1.6851E+00	3.0750E-01	1.4659E-06	2.7314E-04
2.4073E+00	3.0750E-01	3.1704E-07	5.9073E-05
2.6480E+00	3.0750E-01	4.0807E-06	7.6035E-04
3.1295E+00	3.0750E-01	-8.3186E-07	-1.5500E-04
3.3702E+00	3.0750E-01	2.9318E-06	5.4628E-04
4.0924E+00	3.0750E-01	1.7830E-06	3.3221E-04
4.3332E+00	3.0750E-01	5.5467E-06	1.0335E-03
4.8146E+00	3.0750E-01	6.3407E-07	1.1814E-04
5.0554E+00	3.0750E-01	4.3978E-06	8.1943E-04
5.7776E+00	3.0750E-01	3.2489E-06	6.0535E-04
6.0183E+00	3.0750E-01	7.0126E-06	1.3066E-03
6.4998E+00	3.0750E-01	2.1000E-06	3.9128E-04
6.7405E+00	3.0750E-01	5.8637E-06	1.0926E-03
7.4627E+00	3.0750E-01	4.7148E-06	8.7849E-04
8.1849E+00	3.0750E-01	3.5659E-06	6.6442E-04
8.4256E+00	3.0750E-01	7.3296E-06	1.3657E-03
9.1478E+00	3.0750E-01	6.1807E-06	1.1516E-03
9.8700E+00	3.0750E-01	5.0318E-06	9.3756E-04
1.0111E+01	3.0750E-01	8.7955E-06	1.6388E-03
1.0592E+01	3.0750E-01	3.8829E-06	7.2349E-04
1.0833E+01	3.0750E-01	7.6466E-06	1.4248E-03
1.1555E+01	3.0750E-01	6.4977E-06	1.2107E-03
1.1796E+01	3.0750E-01	1.0261E-05	1.9120E-03
1.2277E+01	3.0750E-01	5.3488E-06	9.9663E-04
1.2518E+01	3.0750E-01	9.1125E-06	1.6979E-03
1.3240E+01	3.0750E-01	7.9636E-06	1.4838E-03
1.3481E+01	3.0750E-01	1.1727E-05	2.1851E-03
1.3962E+01	3.0750E-01	6.8147E-06	1.2698E-03
1.4203E+01	3.0750E-01	1.0578E-05	1.9710E-03
1.4925E+01	3.0750E-01	9.4295E-06	1.7570E-03
1.5648E+01	3.0750E-01	8.2806E-06	1.5429E-03
1.5888E+01	3.0750E-01	1.2044E-05	2.2442E-03
1.6610E+01	3.0750E-01	1.0895E-05	2.0301E-03
1.7333E+01	3.0750E-01	9.7465E-06	1.8160E-03
1.7573E+01	3.0750E-01	1.3510E-05	2.5173E-03
1.8055E+01	3.0750E-01	8.5976E-06	1.6020E-03
1.8296E+01	3.0750E-01	1.2361E-05	2.3033E-03
1.9018E+01	3.0750E-01	1.1212E-05	2.0892E-03
1.9259E+01	3.0750E-01	1.4976E-05	2.7905E-03
1.9740E+01	3.0750E-01	1.0064E-05	1.8751E-03
1.9981E+01	3.0750E-01	1.3827E-05	2.5764E-03
2.0703E+01	3.0750E-01	1.2678E-05	2.3623E-03
2.0944E+01	3.0750E-01	1.6442E-05	3.0636E-03
2.1425E+01	3.0750E-01	1.1529E-05	2.1483E-03
2.1666E+01	3.0750E-01	1.5293E-05	2.8495E-03
2.2388E+01	3.0750E-01	1.4144E-05	2.6355E-03
2.3110E+01	3.0750E-01	1.2995E-05	2.4214E-03
2.3351E+01	3.0750E-01	1.6759E-05	3.1227E-03
2.4073E+01	3.0750E-01	1.5610E-05	2.9086E-03
2.4795E+01	3.0750E-01	1.4461E-05	2.6945E-03
2.5036E+01	3.0750E-01	1.8225E-05	3.3958E-03
2.5518E+01	3.0750E-01	1.3312E-05	2.4805E-03
2.5758E+01	3.0750E-01	1.7076E-05	3.1817E-03
2.6480E+01	3.0750E-01	1.5927E-05	2.9677E-03
2.6721E+01	3.0750E-01	1.9691E-05	3.6690E-03
2.7203E+01	3.0750E-01	1.4778E-05	2.7536E-03
2.7443E+01	3.0750E-01	1.8542E-05	3.4549E-03
2.8166E+01	3.0750E-01	1.7393E-05	3.2408E-03
2.8406E+01	3.0750E-01	2.1157E-05	3.9421E-03
2.8888E+01	3.0750E-01	1.6244E-05	3.0267E-03
2.9129E+01	3.0750E-01	2.0008E-05	3.7280E-03
2.9851E+01	3.0750E-01	1.8859E-05	3.5140E-03
3.0573E+01	3.0750E-01	1.7710E-05	3.2999E-03
3.0814E+01	3.0750E-01	2.1474E-05	4.0012E-03
3.1536E+01	3.0750E-01	2.0325E-05	3.7871E-03
3.2258E+01	3.0750E-01	1.9176E-05	3.5730E-03
3.2499E+01	3.0750E-01	2.2940E-05	4.2743E-03
3.2980E+01	3.0750E-01	1.8027E-05	3.3589E-03
3.3221E+01	3.0750E-01	2.1791E-05	4.0602E-03
3.3943E+01	3.0750E-01	2.0642E-05	3.8462E-03
3.4184E+01	3.0750E-01	2.4406E-05	4.5474E-03
3.4665E+01	3.0750E-01	1.9493E-05	3.6321E-03
3.4906E+01	3.0750E-01	2.3257E-05	4.3334E-03
3.5628E+01	3.0750E-01	2.2108E-05	4.1193E-03
3.5869E+01	3.0750E-01	2.5872E-05	4.8206E-03
3.6350E+01	3.0750E-01	2.0959E-05	3.9052E-03
3.6591E+01	3.0750E-01	2.4723E-05	4.6065E-03
3.7313E+01	3.0750E-01	2.3574E-05	4.3924E-03
3.7554E+01	3.0750E-01	2.7337E-05	5.0937E-03
3.8036E+01	3.0750E-01	2.2425E-05	4.1784E-03
3.8276E+01	3.0750E-01	2.6189E-05	4.8797E-03
3.8999E+01	3.0750E-01	2.5040E-05	4.6656E-03
3.9721E+01	3.0750E-01	2.3891E-05	4.4515E-03
3.9961E+01	3.0750E-01	2.7654E-05	5.1528E-03
4.0443E+01	3.0750E-01	2.2742E-05	4.2374E-03
4.0684E+01	3.0750E-01	2.6506E-05	4.9387E-03
4.1406E+01	3.0750E-01	2.5357E-05	4.7247E-03
4.1647E+01	3.0750E-01	2.9120E-05	5.4259E-03
4.2128E+01	3.0750E-01	2.4208E-05	4.5106E-03
4.2369E+01	3.0750E-01	2.7972E-05	5.2119E-03
4.3091E+01	3.0750E-01	2.6823E-05	4.9978E-03
4.3332E+01	3.0750E-01	3.0586E-05	5.6991E-03
4.3813E+01	3.0750E-01	2.5674E-05	4.7837E-03
4.4054E+01	3.0750E-01	2.9437E-05	5.4850E-03
4.4776E+01	3.0750E-01	2.8289E-05	5.2709E-03
4.5017E+01	3.0750E-01	3.2052E-05	5.9722E-03
4.5498E+01	3.0750E-01	2.7140E-05	5.0569E-03
4.5739E+01	3.0750E-01	3.0903E-05	5.7582E-03
4.6461E+01	3.0750E-01	2.9755E-05	5.5441E-03
4.7183E+01	3.0750E-01	2.8606E-05	5.3300E-03
4.7424E+01	3.0750E-01	3.2369E-05	6.0313E-03
4.7906E+01	3.0750E-01	2.7457E-05	5.1160E-03
4.8146E+01	3.0750E-01	3.1221E-05	5.8172E-03
4.8869E+01	3.0750E-01	3.0072E-05	5.6032E-03
4.9109E+01	3.0750E-01	3.3835E-05	6.3045E-03
4.9591E+01	3.0750E-01	2.8923E-05	5.3891E-03
4.9831E+01	3.0750E-01	3.2686E-05	6.0904E-03
5.0554E+01	3.0750E-01	3.1538E-05	5.8763E-03
5.0794E+01	3.0750E-01	3.5301E-05	6.5776E-03
5.1276E+01	3.0750E-01	3.0389E-05	5.6623E-03
5.1517E+01	3.0750E-01	3.4152E-05	6.3635E-03
5.2239E+01	3.0750E-01	3.3004E-05	6.1495E-03
5.2480E+01	3.0750E-01	3.6767E-05	6.8508E-03
5.2961E+01	3.0750E-01	3.1855E-05	5.9354E-03
5.3202E+01	3.0750E-01	3.5618E-05	6.6367E-03
5.3924E+01	3.0750E-01	3.4469E-05	6.4226E-03
5.4646E+01	3.0750E-01	3.3321E-05	6.2085E-03
5.4887E+01	3.0750E-01	3.7084E-05	6.9098E-03
5.5368E+01	3.0750E-01	3.2172E-05	5.9945E-03
5.5609E+01	3.0750E-01	3.5935E-05	6.6958E-03
5.6331E+01	3.0750E-01	3.4787E-05	6.4817E-03
5.6572E+01	3.0750E-01	3.8550E-05	7.1830E-03
5.7053E+01	3.0750E-01	3.3638E-05	6.2676E-03
