t	E	absM	Cv	chi
1.00000E-01	-7.99864E+00	3.99952E+00	1.08782E+00	3.43948E-02
2.00000E-01	-7.99992E+00	3.99998E+00	1.59998E-02	1.99998E-04
3.00000E-01	-7.99976E+00	3.99992E+00	2.13327E-02	7.99979E-04
4.00000E-01	-7.99928E+00	3.99976E+00	3.59968E-02	4.19968E-03
5.00000E-01	-7.99960E+00	3.99986E+00	1.27994E-02	8.79961E-04
6.00000E-01	-7.99976E+00	3.99994E+00	5.33317E-03	1.99994E-04
7.00000E-01	-7.99936E+00	3.99978E+00	1.04481E-02	7.10799E+00
8.00000E-01	-7.99488E+00	3.99826E+00	6.39590E-02	2.14810E-01
9.00000E-01	-7.99400E+00	3.99804E+00	5.92148E-02	1.76138E+01
1.00000E+00	-7.98144E+00	3.99380E+00	1.48136E-01	8.24531E+00
1.10000E+00	-7.97344E+00	3.99124E+00	1.75020E-01	1.44091E+01
1.20000E+00	-7.94016E+00	3.98004E+00	3.29958E-01	1.29075E+01
1.30000E+00	-7.90120E+00	3.96712E+00	4.62674E-01	1.11064E+01
1.40000E+00	-7.86008E+00	3.95348E+00	5.61767E-01	1.12455E+01
1.50000E+00	-7.80600E+00	3.93568E+00	6.73620E-01	1.04360E+01
1.60000E+00	-7.70224E+00	3.90032E+00	8.99367E-01	9.61106E+00
1.70000E+00	-7.57896E+00	3.85928E+00	1.10771E+00	8.88314E+00
1.80000E+00	-7.47840E+00	3.82656E+00	1.21104E+00	8.40678E+00
1.90000E+00	-7.31208E+00	3.77050E+00	1.39977E+00	7.80524E+00
2.00000E+00	-7.21904E+00	3.73976E+00	1.41713E+00	7.29625E+00
2.10000E+00	-7.00920E+00	3.66906E+00	1.58812E+00	6.83247E+00
2.20000E+00	-6.90088E+00	3.63462E+00	1.58273E+00	6.44174E+00
2.30000E+00	-6.71088E+00	3.57024E+00	1.65401E+00	6.00618E+00
2.40000E+00	-6.56496E+00	3.52364E+00	1.65736E+00	5.66467E+00
2.50000E+00	-6.38888E+00	3.46468E+00	1.67436E+00	5.33076E+00
2.60000E+00	-6.25248E+00	3.42144E+00	1.64700E+00	5.04152E+00
2.70000E+00	-6.08648E+00	3.36572E+00	1.63326E+00	4.74735E+00
2.80000E+00	-5.98128E+00	3.33074E+00	1.57375E+00	4.52100E+00
2.90000E+00	-5.77064E+00	3.25862E+00	1.57095E+00	4.24454E+00
3.00000E+00	-5.57776E+00	3.19706E+00	1.55153E+00	3.99999E+00
3.10000E+00	-5.51712E+00	3.17648E+00	1.47404E+00	3.83837E+00
3.20000E+00	-5.30672E+00	3.10786E+00	1.45075E+00	3.61170E+00
3.30000E+00	-5.15200E+00	3.05656E+00	1.40849E+00	3.42597E+00
3.40000E+00	-5.03264E+00	3.01780E+00	1.35274E+00	3.26825E+00
3.50000E+00	-4.92336E+00	2.98390E+00	1.30298E+00	3.12199E+00
3.60000E+00	-4.74160E+00	2.92414E+00	1.26571E+00	2.95702E+00
3.70000E+00	-4.61240E+00	2.88162E+00	1.21530E+00	2.82118E+00
3.80000E+00	-4.51632E+00	2.84988E+00	1.16377E+00	2.70574E+00
3.90000E+00	-4.44424E+00	2.82680E+00	1.11050E+00	2.60663E+00
4.00000E+00	-4.25288E+00	2.76186E+00	1.07360E+00	2.46262E+00
4.10000E+00	-4.14000E+00	2.72760E+00	1.03608E+00	2.36206E+00
4.20000E+00	-4.13040E+00	2.72644E+00	9.90456E-01	2.30387E+00
4.30000E+00	-3.97472E+00	2.67692E+00	9.53700E-01	2.19319E+00
4.40000E+00	-3.90288E+00	2.65074E+00	9.12703E-01	2.11572E+00
4.50000E+00	-3.81464E+00	2.62450E+00	8.77489E-01	2.03834E+00
4.60000E+00	-3.70416E+00	2.58840E+00	8.43894E-01	1.95705E+00
4.70000E+00	-3.60112E+00	2.55470E+00	8.10224E-01	1.88031E+00
4.80000E+00	-3.51272E+00	2.52792E+00	7.80639E-01	1.81359E+00
4.90000E+00	-3.47608E+00	2.51344E+00	7.44999E-01	1.76287E+00
5.00000E+00	-3.39480E+00	2.48762E+00	7.16537E-01	1.70198E+00
5.10000E+00	-3.31896E+00	2.46498E+00	6.93180E-01	1.64772E+00
5.20000E+00	-3.27712E+00	2.45256E+00	6.66403E-01	1.60400E+00
5.30000E+00	-3.19928E+00	2.42872E+00	6.42693E-01	1.55184E+00
5.40000E+00	-3.13144E+00	2.40370E+00	6.15665E-01	1.50141E+00
5.50000E+00	-3.11168E+00	2.39772E+00	5.92968E-01	1.46864E+00
5.60000E+00	-3.03376E+00	2.37528E+00	5.74066E-01	1.42254E+00
5.70000E+00	-2.98896E+00	2.36164E+00	5.55274E-01	1.38657E+00
5.80000E+00	-2.91728E+00	2.33862E+00	5.35102E-01	1.34330E+00
5.90000E+00	-2.87456E+00	2.32286E+00	5.14039E-01	1.30756E+00
6.00000E+00	-2.82024E+00	2.30664E+00	4.97516E-01	1.27332E+00
6.10000E+00	-2.72832E+00	2.27826E+00	4.81026E-01	1.23023E+00
