n	E	absM	accepted
1	-8.00000E+00	2.80000E+01	1
2	-8.00000E+00	2.80000E+01	1
3	-8.00000E+00	2.73333E+01	2
4	-8.00000E+00	2.75000E+01	3
5	-8.00000E+00	2.72000E+01	4
6	-8.00000E+00	2.66667E+01	5
7	-8.57143E+00	2.65714E+01	6
8	-9.00000E+00	2.65000E+01	6
9	-9.33333E+00	2.66667E+01	7
10	-1.00000E+01	2.70000E+01	8
11	-1.09091E+01	2.70909E+01	9
12	-1.16667E+01	2.71667E+01	9
13	-1.26154E+01	2.73846E+01	10
14	-1.34286E+01	2.75714E+01	10
15	-1.44000E+01	2.78667E+01	11
16	-1.52500E+01	2.81250E+01	11
17	-1.64706E+01	2.84706E+01	12
18	-1.75556E+01	2.88889E+01	13
19	-1.85263E+01	2.92632E+01	13
20	-1.96000E+01	2.97000E+01	14
21	-2.05714E+01	3.00952E+01	14
22	-2.14545E+01	3.04545E+01	14
23	-2.24348E+01	3.08696E+01	15
24	-2.33333E+01	3.13333E+01	16
25	-2.41600E+01	3.17600E+01	16
26	-2.49231E+01	3.22308E+01	17
27	-2.56296E+01	3.26667E+01	17
28	-2.65714E+01	3.31429E+01	18
29	-2.77241E+01	3.36552E+01	19
30	-2.88000E+01	3.42000E+01	20
31	-2.98065E+01	3.47742E+01	21
32	-3.08750E+01	3.53750E+01	22
33	-3.18788E+01	3.59394E+01	22
34	-3.28235E+01	3.64706E+01	22
35	-3.37143E+01	3.69143E+01	23
36	-3.45556E+01	3.72778E+01	24
37	-3.53514E+01	3.75676E+01	25
38	-3.61053E+01	3.78421E+01	25
39	-3.68205E+01	3.80513E+01	26
40	-3.75000E+01	3.82500E+01	26
41	-3.81463E+01	3.83902E+01	27
42	-3.87619E+01	3.84762E+01	28
43	-3.93488E+01	3.85581E+01	28
44	-4.00000E+01	3.85909E+01	29
45	-4.06222E+01	3.85778E+01	30
46	-4.13043E+01	3.86087E+01	31
47	-4.19574E+01	3.86809E+01	32
48	-4.25833E+01	3.87500E+01	32
49	-4.32653E+01	3.87755E+01	33
50	-4.39200E+01	3.87600E+01	34
51	-4.45490E+01	3.87059E+01	35
52	-4.51538E+01	3.86538E+01	35
53	-4.57358E+01	3.86038E+01	35
54	-4.62963E+01	3.85185E+01	36
55	-4.68364E+01	3.84364E+01	36
56	-4.73571E+01	3.83571E+01	36
57	-4.79298E+01	3.82456E+01	37
58	-4.84828E+01	3.81379E+01	37
59	-4.90847E+01	3.80678E+01	38
60	-4.96667E+01	3.79667E+01	39
61	-5.02295E+01	3.78361E+01	40
62	-5.07742E+01	3.77097E+01	40
63	-5.13016E+01	3.75873E+01	40
64	-5.18125E+01	3.74375E+01	41
65	-5.23692E+01	3.73231E+01	42
66	-5.29697E+01	3.72424E+01	43
67	-5.35522E+01	3.71343E+01	44
68	-5.41765E+01	3.70588E+01	45
69	-5.47826E+01	3.69565E+01	46
70	-5.53714E+01	3.68571E+01	46
71	-5.60000E+01	3.67324E+01	47
72	-5.66111E+01	3.66111E+01	47
73	-5.72055E+01	3.64658E+01	48
74	-5.77838E+01	3.63243E+01	48
75	-5.84533E+01	3.62133E+01	49
76	-5.91053E+01	3.61053E+01	49
77	-5.97403E+01	3.60000E+01	49
78	-6.03590E+01	3.58974E+01	49
79	-6.09620E+01	3.57722E+01	50
80	-6.15500E+01	3.56750E+01	51
81	-6.21728E+01	3.55556E+01	52
82	-6.28780E+01	3.54146E+01	53
83	-6.35663E+01	3.52771E+01	53
84	-6.42381E+01	3.51667E+01	54
85	-6.49412E+01	3.50824E+01	55
86	-6.56279E+01	3.50000E+01	55
87	-6.63448E+01	3.48966E+01	56
88	-6.70909E+01	3.48182E+01	57
89	-6.78202E+01	3.47416E+01	57
90	-6.85333E+01	3.46889E+01	58
91	-6.92308E+01	3.46154E+01	59
