n	E	absM	accepted
1	-8.00000E+02	4.00000E+02	0
2	-8.00000E+02	4.00000E+02	0
3	-8.00000E+02	4.00000E+02	0
4	-8.00000E+02	4.00000E+02	0
5	-8.00000E+02	4.00000E+02	0
6	-8.00000E+02	4.00000E+02	0
7	-8.00000E+02	4.00000E+02	0
8	-8.00000E+02	4.00000E+02	0
9	-8.00000E+02	4.00000E+02	0
10	-8.00000E+02	4.00000E+02	0
11	-8.00000E+02	4.00000E+02	0
12	-8.00000E+02	4.00000E+02	0
13	-8.00000E+02	4.00000E+02	0
14	-8.00000E+02	4.00000E+02	0
15	-8.00000E+02	4.00000E+02	0
16	-8.00000E+02	4.00000E+02	0
17	-8.00000E+02	4.00000E+02	0
18	-8.00000E+02	4.00000E+02	0
19	-8.00000E+02	4.00000E+02	0
20	-8.00000E+02	4.00000E+02	0
21	-8.00000E+02	4.00000E+02	0
22	-8.00000E+02	4.00000E+02	0
23	-8.00000E+02	4.00000E+02	0
24	-8.00000E+02	4.00000E+02	0
25	-8.00000E+02	4.00000E+02	0
26	-8.00000E+02	4.00000E+02	0
27	-8.00000E+02	4.00000E+02	0
28	-8.00000E+02	4.00000E+02	0
29	-8.00000E+02	4.00000E+02	0
30	-8.00000E+02	4.00000E+02	0
31	-8.00000E+02	4.00000E+02	0
32	-8.00000E+02	4.00000E+02	0
33	-8.00000E+02	4.00000E+02	0
34	-7.99765E+02	3.99941E+02	1
35	-7.99543E+02	3.99886E+02	1
36	-7.99333E+02	3.99833E+02	1
37	-7.99135E+02	3.99784E+02	1
38	-7.98947E+02	3.99737E+02	1
39	-7.98769E+02	3.99692E+02	1
40	-7.98600E+02	3.99650E+02	1
41	-7.98439E+02	3.99610E+02	1
42	-7.98286E+02	3.99571E+02	1
43	-7.98140E+02	3.99535E+02	1
44	-7.98000E+02	3.99500E+02	1
45	-7.97867E+02	3.99467E+02	1
46	-7.97739E+02	3.99435E+02	1
47	-7.97617E+02	3.99404E+02	1
48	-7.97500E+02	3.99375E+02	1
49	-7.97388E+02	3.99347E+02	1
50	-7.97280E+02	3.99320E+02	1
51	-7.97176E+02	3.99294E+02	1
52	-7.97077E+02	3.99269E+02	1
53	-7.96981E+02	3.99245E+02	1
54	-7.96889E+02	3.99222E+02	1
55	-7.96800E+02	3.99200E+02	1
56	-7.96571E+02	3.99143E+02	2
57	-7.96351E+02	3.99088E+02	2
58	-7.96138E+02	3.99034E+02	2
59	-7.95932E+02	3.98983E+02	2
60	-7.95733E+02	3.98933E+02	2
61	-7.95541E+02	3.98885E+02	2
62	-7.95355E+02	3.98839E+02	2
63	-7.95175E+02	3.98794E+02	2
64	-7.95000E+02	3.98750E+02	2
65	-7.94831E+02	3.98708E+02	2
66	-7.94667E+02	3.98667E+02	2
