n	E	absM
1	-8.00000E+00	1.00000E+01
2	-8.00000E+00	1.10000E+01
3	-8.00000E+00	1.20000E+01
4	-8.00000E+00	1.25000E+01
5	-8.00000E+00	1.28000E+01
6	-8.00000E+00	1.26667E+01
7	-8.00000E+00	1.25714E+01
8	-8.50000E+00	1.22500E+01
9	-8.88889E+00	1.17778E+01
10	-9.20000E+00	1.14000E+01
11	-9.45455E+00	1.10909E+01
12	-1.00000E+01	1.06667E+01
13	-1.04615E+01	1.01538E+01
14	-1.08571E+01	9.71429E+00
15	-1.12000E+01	9.20000E+00
16	-1.15000E+01	8.75000E+00
17	-1.17647E+01	8.35294E+00
18	-1.20000E+01	8.00000E+00
19	-1.22105E+01	7.68421E+00
20	-1.26000E+01	7.50000E+00
21	-1.31429E+01	7.42857E+00
22	-1.36364E+01	7.36364E+00
23	-1.40870E+01	7.39130E+00
24	-1.46667E+01	7.50000E+00
25	-1.52000E+01	7.52000E+00
26	-1.56923E+01	7.53846E+00
27	-1.61481E+01	7.55556E+00
28	-1.67143E+01	7.64286E+00
29	-1.73793E+01	7.79310E+00
30	-1.80000E+01	7.93333E+00
31	-1.87097E+01	8.00000E+00
32	-1.93750E+01	8.12500E+00
33	-2.00000E+01	8.18182E+00
34	-2.07059E+01	8.29412E+00
35	-2.13714E+01	8.45714E+00
36	-2.20000E+01	8.61111E+00
37	-2.25946E+01	8.70270E+00
38	-2.32632E+01	8.73684E+00
39	-2.38974E+01	8.76923E+00
40	-2.45000E+01	8.80000E+00
41	-2.50732E+01	8.82927E+00
42	-2.56190E+01	8.85714E+00
43	-2.62326E+01	8.93023E+00
44	-2.68182E+01	9.04545E+00
45	-2.73778E+01	9.15556E+00
46	-2.80000E+01	9.30435E+00
47	-2.85957E+01	9.48936E+00
48	-2.91667E+01	9.66667E+00
49	-2.97143E+01	9.83673E+00
50	-3.03200E+01	1.00400E+01
51	-3.09804E+01	1.02745E+01
52	-3.16154E+01	1.04615E+01
53	-3.22264E+01	1.06415E+01
54	-3.28148E+01	1.08519E+01
55	-3.33818E+01	1.10545E+01
56	-3.39286E+01	1.12143E+01
57	-3.44561E+01	1.13684E+01
58	-3.49655E+01	1.15517E+01
59	-3.54576E+01	1.17288E+01
60	-3.59333E+01	1.19333E+01
61	-3.64590E+01	1.21639E+01
62	-3.69677E+01	1.23871E+01
63	-3.74603E+01	1.26349E+01
64	-3.79375E+01	1.28750E+01
65	-3.84000E+01	1.30769E+01
66	-3.88485E+01	1.33030E+01
67	-3.92836E+01	1.35522E+01
68	-3.97059E+01	1.37941E+01
69	-4.02319E+01	1.40580E+01
70	-4.07429E+01	1.42857E+01
