E	N	P
-7.56000E+02	2.90000E+01	2.90000E-07
-7.52000E+02	1.40000E+01	1.40000E-07
-7.48000E+02	5.20000E+01	5.20000E-07
-7.44000E+02	3.70000E+01	3.70000E-07
-7.40000E+02	1.56000E+02	1.56000E-06
-7.36000E+02	1.37000E+02	1.37000E-06
-7.32000E+02	2.04000E+02	2.04000E-06
-7.28000E+02	3.29000E+02	3.29000E-06
-7.24000E+02	6.13000E+02	6.13000E-06
-7.20000E+02	5.45000E+02	5.45000E-06
-7.16000E+02	1.00300E+03	1.00300E-05
-7.12000E+02	1.70000E+03	1.70000E-05
-7.08000E+02	2.13800E+03	2.13800E-05
-7.04000E+02	3.53100E+03	3.53100E-05
-7.00000E+02	4.80600E+03	4.80600E-05
-6.96000E+02	5.96100E+03	5.96100E-05
-6.92000E+02	8.63800E+03	8.63800E-05
-6.88000E+02	1.23670E+04	1.23670E-04
-6.84000E+02	1.56040E+04	1.56040E-04
-6.80000E+02	2.05230E+04	2.05230E-04
-6.76000E+02	2.65950E+04	2.65950E-04
-6.72000E+02	3.47120E+04	3.47120E-04
-6.68000E+02	4.26550E+04	4.26550E-04
-6.64000E+02	5.32380E+04	5.32380E-04
-6.60000E+02	6.31420E+04	6.31420E-04
-6.56000E+02	7.90130E+04	7.90130E-04
-6.52000E+02	9.42150E+04	9.42150E-04
-6.48000E+02	1.12324E+05	1.12324E-03
-6.44000E+02	1.36743E+05	1.36743E-03
-6.40000E+02	1.59784E+05	1.59784E-03
-6.36000E+02	1.88228E+05	1.88228E-03
-6.32000E+02	2.21594E+05	2.21594E-03
-6.28000E+02	2.56331E+05	2.56331E-03
-6.24000E+02	2.92941E+05	2.92941E-03
-6.20000E+02	3.35487E+05	3.35487E-03
-6.16000E+02	3.84941E+05	3.84941E-03
-6.12000E+02	4.32755E+05	4.32755E-03
-6.08000E+02	4.94532E+05	4.94532E-03
-6.04000E+02	5.48065E+05	5.48065E-03
-6.00000E+02	6.12201E+05	6.12201E-03
-5.96000E+02	6.76071E+05	6.76071E-03
-5.92000E+02	7.44737E+05	7.44737E-03
-5.88000E+02	8.18174E+05	8.18174E-03
-5.84000E+02	8.96811E+05	8.96811E-03
-5.80000E+02	9.77363E+05	9.77363E-03
-5.76000E+02	1.06850E+06	1.06850E-02
-5.72000E+02	1.15046E+06	1.15046E-02
-5.68000E+02	1.24747E+06	1.24747E-02
-5.64000E+02	1.34326E+06	1.34326E-02
-5.60000E+02	1.42775E+06	1.42775E-02
-5.56000E+02	1.51539E+06	1.51539E-02
-5.52000E+02	1.60746E+06	1.60746E-02
-5.48000E+02	1.70409E+06	1.70409E-02
-5.44000E+02	1.79839E+06	1.79839E-02
-5.40000E+02	1.89931E+06	1.89931E-02
-5.36000E+02	1.99758E+06	1.99758E-02
-5.32000E+02	2.08938E+06	2.08938E-02
-5.28000E+02	2.17750E+06	2.17750E-02
-5.24000E+02	2.26804E+06	2.26804E-02
-5.20000E+02	2.35032E+06	2.35032E-02
-5.16000E+02	2.42391E+06	2.42391E-02
-5.12000E+02	2.48187E+06	2.48187E-02
-5.08000E+02	2.53697E+06	2.53697E-02
-5.04000E+02	2.59909E+06	2.59909E-02
-5.00000E+02	2.63832E+06	2.63832E-02
-4.96000E+02	2.67847E+06	2.67847E-02
-4.92000E+02	2.70895E+06	2.70895E-02
-4.88000E+02	2.73631E+06	2.73631E-02
-4.84000E+02	2.74618E+06	2.74618E-02
-4.80000E+02	2.74335E+06	2.74335E-02
-4.76000E+02	2.73274E+06	2.73274E-02
-4.72000E+02	2.70047E+06	2.70047E-02
-4.68000E+02	2.64575E+06	2.64575E-02
-4.64000E+02	2.59750E+06	2.59750E-02
-4.60000E+02	2.50856E+06	2.50856E-02
-4.56000E+02	2.42272E+06	2.42271E-02
-4.52000E+02	2.32097E+06	2.32097E-02
-4.48000E+02	2.19323E+06	2.19323E-02
-4.44000E+02	2.08158E+06	2.08158E-02
-4.40000E+02	1.93997E+06	1.93997E-02
-4.36000E+02	1.80112E+06	1.80112E-02
-4.32000E+02	1.67055E+06	1.67055E-02
-4.28000E+02	1.52662E+06	1.52662E-02
-4.24000E+02	1.38962E+06	1.38962E-02
-4.20000E+02	1.24784E+06	1.24784E-02
-4.16000E+02	1.11925E+06	1.11925E-02
-4.12000E+02	9.88669E+05	9.88669E-03
-4.08000E+02	8.76237E+05	8.76237E-03
-4.04000E+02	7.59529E+05	7.59529E-03
-4.00000E+02	6.63803E+05	6.63803E-03
-3.96000E+02	5.66009E+05	5.66009E-03
-3.92000E+02	4.80213E+05	4.80213E-03
-3.88000E+02	4.04699E+05	4.04699E-03
-3.84000E+02	3.34862E+05	3.34862E-03
-3.80000E+02	2.73385E+05	2.73385E-03
-3.76000E+02	2.25241E+05	2.25241E-03
-3.72000E+02	1.81241E+05	1.81241E-03
-3.68000E+02	1.47266E+05	1.47266E-03
-3.64000E+02	1.15488E+05	1.15488E-03
-3.60000E+02	9.21090E+04	9.21090E-04
-3.56000E+02	7.20750E+04	7.20750E-04
-3.52000E+02	5.62460E+04	5.62460E-04
-3.48000E+02	4.18910E+04	4.18910E-04
-3.44000E+02	3.22530E+04	3.22530E-04
-3.40000E+02	2.48170E+04	2.48170E-04
-3.36000E+02	1.78210E+04	1.78210E-04
-3.32000E+02	1.43050E+04	1.43050E-04
-3.28000E+02	1.03980E+04	1.03980E-04
-3.24000E+02	7.40000E+03	7.40000E-05
-3.20000E+02	4.98300E+03	4.98300E-05
-3.16000E+02	3.85600E+03	3.85600E-05
-3.12000E+02	2.60400E+03	2.60400E-05
-3.08000E+02	1.81100E+03	1.81100E-05
-3.04000E+02	1.11200E+03	1.11200E-05
-3.00000E+02	7.92000E+02	7.92000E-06
-2.96000E+02	5.09000E+02	5.09000E-06
-2.92000E+02	3.04000E+02	3.04000E-06
-2.88000E+02	1.35000E+02	1.35000E-06
-2.84000E+02	6.80000E+01	6.80000E-07
-2.80000E+02	1.40000E+01	1.40000E-07
