t	E	absM	Cv	chi
2.00000E+00	-3.58720E+00	1.86240E+00	3.96228E+00	3.65635E+00
2.00500E+00	-3.58396E+00	1.86129E+00	3.94179E+00	3.64399E+00
2.01000E+00	-3.58084E+00	1.86025E+00	3.92156E+00	3.63290E+00
2.01500E+00	-3.57780E+00	1.85929E+00	3.90165E+00	3.62159E+00
2.02000E+00	-3.57518E+00	1.85845E+00	3.88197E+00	3.61057E+00
2.02500E+00	-3.57250E+00	1.85757E+00	3.86227E+00	3.59883E+00
2.03000E+00	-3.56952E+00	1.85660E+00	3.84288E+00	3.58786E+00
2.03500E+00	-3.56730E+00	1.85588E+00	3.82371E+00	3.57193E+00
2.04000E+00	-3.56514E+00	1.85513E+00	3.80462E+00	3.56392E+00
2.04500E+00	-3.56038E+00	1.85348E+00	3.78496E+00	3.55437E+00
2.05000E+00	-3.55622E+00	1.85212E+00	3.76580E+00	3.54188E+00
2.05500E+00	-3.55404E+00	1.85137E+00	3.74719E+00	3.53191E+00
2.06000E+00	-3.55232E+00	1.85082E+00	3.72858E+00	3.52088E+00
2.06500E+00	-3.54782E+00	1.84935E+00	3.70983E+00	3.50740E+00
2.07000E+00	-3.54480E+00	1.84837E+00	3.69159E+00	3.49908E+00
2.07500E+00	-3.53956E+00	1.84664E+00	3.67278E+00	3.48645E+00
2.08000E+00	-3.53404E+00	1.84482E+00	3.65418E+00	3.47369E+00
2.08500E+00	-3.53068E+00	1.84367E+00	3.63617E+00	3.46256E+00
2.09000E+00	-3.52656E+00	1.84229E+00	3.61798E+00	3.45098E+00
2.09500E+00	-3.52256E+00	1.84096E+00	3.59986E+00	3.42933E+00
2.10000E+00	-3.51862E+00	1.83966E+00	3.58196E+00	3.42837E+00
2.10500E+00	-3.51598E+00	1.83880E+00	3.56453E+00	3.41823E+00
2.11000E+00	-3.51226E+00	1.83752E+00	3.54692E+00	3.40600E+00
2.11500E+00	-3.51030E+00	1.83685E+00	3.52974E+00	3.39483E+00
2.12000E+00	-3.50486E+00	1.83504E+00	3.51192E+00	3.38469E+00
2.12500E+00	-3.50186E+00	1.83407E+00	3.49503E+00	3.37382E+00
2.13000E+00	-3.49784E+00	1.83271E+00	3.47769E+00	3.34924E+00
2.13500E+00	-3.49216E+00	1.83082E+00	3.46030E+00	3.35055E+00
2.14000E+00	-3.48624E+00	1.82886E+00	3.44304E+00	3.33825E+00
2.14500E+00	-3.48266E+00	1.82769E+00	3.42620E+00	3.32859E+00
2.15000E+00	-3.47964E+00	1.82667E+00	3.40961E+00	3.31736E+00
2.15500E+00	-3.47666E+00	1.82567E+00	3.39327E+00	3.30805E+00
2.16000E+00	-3.47500E+00	1.82515E+00	3.37721E+00	3.29942E+00
2.16500E+00	-3.47100E+00	1.82381E+00	3.36107E+00	3.28872E+00
2.17000E+00	-3.46450E+00	1.82164E+00	3.34447E+00	3.27402E+00
2.17500E+00	-3.45884E+00	1.81969E+00	3.32789E+00	3.26436E+00
2.18000E+00	-3.45592E+00	1.81877E+00	3.31211E+00	3.25431E+00
2.18500E+00	-3.45170E+00	1.81737E+00	3.29607E+00	3.24299E+00
2.19000E+00	-3.44788E+00	1.81611E+00	3.28029E+00	3.23398E+00
2.19500E+00	-3.44286E+00	1.81436E+00	3.26427E+00	3.22101E+00
2.20000E+00	-3.44170E+00	1.81404E+00	3.24938E+00	3.21142E+00
2.20500E+00	-3.43926E+00	1.81325E+00	3.23443E+00	3.20556E+00
2.21000E+00	-3.43380E+00	1.81143E+00	3.21882E+00	3.19389E+00
2.21500E+00	-3.43138E+00	1.81066E+00	3.20400E+00	3.18430E+00
2.22000E+00	-3.42890E+00	1.80985E+00	3.18914E+00	3.17488E+00
2.22500E+00	-3.42296E+00	1.80784E+00	3.17358E+00	3.16051E+00
2.23000E+00	-3.41966E+00	1.80675E+00	3.15879E+00	3.15502E+00
2.23500E+00	-3.41578E+00	1.80546E+00	3.14376E+00	3.14458E+00
2.24000E+00	-3.41256E+00	1.80438E+00	3.12899E+00	3.13514E+00
2.24500E+00	-3.40978E+00	1.80346E+00	3.11455E+00	3.11807E+00
2.25000E+00	-3.40648E+00	1.80237E+00	3.10014E+00	3.11677E+00
2.25500E+00	-3.40186E+00	1.80084E+00	3.08545E+00	3.10709E+00
2.26000E+00	-3.39930E+00	1.79998E+00	3.07134E+00	3.09666E+00
2.26500E+00	-3.39652E+00	1.79911E+00	3.05739E+00	3.08781E+00
2.27000E+00	-3.39180E+00	1.79756E+00	3.04301E+00	3.07927E+00
2.27500E+00	-3.38754E+00	1.79616E+00	3.02902E+00	3.06847E+00
2.28000E+00	-3.38394E+00	1.79497E+00	3.01502E+00	3.05999E+00
2.28500E+00	-3.38202E+00	1.79436E+00	3.00175E+00	3.05196E+00
2.29000E+00	-3.37920E+00	1.79346E+00	2.98811E+00	3.04243E+00
2.29500E+00	-3.37384E+00	1.79169E+00	2.97396E+00	3.03299E+00
2.30000E+00	-3.36894E+00	1.79011E+00	2.95988E+00	3.02075E+00
