k	V
0	7.834E-03
1	1.185E-02
2	1.187E-02
3	1.534E-02
4	1.694E-02
5	2.162E-02
6	2.189E-02
7	2.353E-02
8	2.354E-02
9	2.795E-02
10	2.915E-02
11	3.039E-02
12	3.131E-02
13	3.642E-02
14	4.165E-02
15	4.588E-02
16	5.022E-02
17	5.699E-02
18	6.368E-02
19	7.003E-02
20	6.984E-02
21	6.998E-02
22	7.431E-02
23	7.380E-02
24	7.894E-02
25	8.222E-02
26	8.566E-02
27	8.765E-02
28	9.297E-02
29	9.578E-02
30	9.575E-02
31	1.025E-01
32	1.074E-01
33	1.077E-01
34	1.062E-01
35	1.060E-01
36	1.115E-01
37	1.104E-01
38	1.131E-01
39	1.203E-01
40	1.236E-01
41	1.327E-01
42	1.336E-01
43	1.317E-01
44	1.294E-01
45	1.299E-01
46	1.299E-01
47	1.307E-01
48	1.307E-01
49	1.323E-01
50	1.392E-01
51	1.392E-01
52	1.414E-01
53	1.447E-01
54	1.449E-01
55	1.457E-01
56	1.460E-01
57	1.471E-01
58	1.556E-01
59	1.612E-01
60	1.613E-01
61	1.663E-01
62	1.797E-01
63	1.844E-01
64	1.872E-01
65	1.873E-01
66	1.868E-01
67	1.904E-01
68	1.958E-01
69	1.983E-01
70	1.983E-01
71	1.995E-01
72	1.988E-01
73	2.042E-01
74	2.068E-01
75	2.077E-01
76	2.156E-01
77	2.163E-01
78	2.164E-01
79	2.168E-01
80	2.192E-01
81	2.233E-01
82	2.235E-01
83	2.304E-01
84	2.318E-01
85	2.323E-01
86	2.334E-01
87	2.349E-01
88	2.341E-01
89	2.445E-01
90	2.456E-01
91	2.465E-01
92	2.455E-01
93	2.462E-01
94	2.495E-01
95	2.504E-01
96	2.506E-01
97	2.508E-01
98	2.529E-01
99	2.608E-01
100	2.598E-01
110	3.023E-01
120	3.368E-01
130	3.466E-01
140	3.484E-01
150	3.561E-01
160	3.609E-01
170	3.773E-01
180	3.893E-01
190	4.131E-01
200	4.315E-01
210	4.399E-01
220	4.566E-01
230	4.584E-01
240	4.554E-01
250	4.685E-01
260	5.039E-01
270	5.115E-01
280	5.489E-01
290	5.496E-01
300	5.620E-01
310	5.832E-01
320	5.979E-01
330	6.050E-01
340	6.145E-01
350	6.170E-01
360	6.337E-01
370	7.076E-01
380	7.042E-01
390	7.005E-01
400	6.965E-01
410	7.082E-01
420	7.149E-01
430	7.043E-01
440	7.421E-01
450	7.451E-01
460	7.420E-01
470	7.471E-01
480	7.405E-01
490	7.611E-01
500	7.499E-01
510	7.511E-01
520	7.703E-01
530	7.709E-01
540	7.573E-01
550	7.640E-01
560	7.721E-01
570	7.803E-01
580	7.695E-01
590	7.942E-01
600	7.862E-01
610	8.218E-01
620	7.889E-01
630	7.979E-01
640	8.143E-01
650	8.967E-01
660	8.949E-01
670	9.150E-01
680	9.533E-01
690	1.022E+00
700	1.014E+00
710	1.025E+00
720	1.005E+00
730	1.003E+00
740	1.018E+00
750	1.047E+00
760	1.086E+00
770	1.055E+00
780	1.037E+00
790	1.030E+00
800	1.029E+00
810	1.034E+00
820	1.025E+00
830	1.019E+00
840	1.029E+00
850	1.033E+00
860	1.004E+00
870	1.169E+00
880	1.158E+00
890	1.040E+00
900	1.039E+00
910	1.027E+00
920	1.020E+00
930	9.788E-01
940	1.009E+00
950	9.968E-01
960	9.803E-01
970	9.647E-01
980	1.001E+00
990	9.961E-01
1000	9.738E-01
1100	9.455E-01
1200	1.104E+00
1300	1.111E+00
1400	1.073E+00
1500	9.379E-01
1600	9.843E-01
1700	1.025E+00
1800	1.031E+00
1900	1.005E+00
2000	1.100E+00
2100	1.205E+00
2200	1.144E+00
2300	1.169E+00
2400	1.035E+00
2500	1.094E+00
2600	1.104E+00
2700	8.948E-01
2800	8.985E-01
2900	1.004E+00
3000	9.406E-01
3100	8.485E-01
3200	8.407E-01
3300	8.721E-01
3400	8.682E-01
3500	8.292E-01
3600	1.012E+00
3700	9.509E-01
3800	9.436E-01
3900	9.579E-01
4000	9.446E-01
4100	8.325E-01
4200	8.052E-01
4300	8.812E-01
4400	9.076E-01
4500	1.003E+00
4600	1.049E+00
4700	9.512E-01
4800	8.368E-01
4900	7.912E-01
5000	9.530E-01
5100	1.062E+00
5200	9.666E-01
5300	1.033E+00
5400	1.168E+00
5500	1.016E+00
5600	1.056E+00
5700	9.819E-01
5800	8.659E-01
5900	9.316E-01
6000	9.744E-01
6100	9.490E-01
6200	9.683E-01
6300	8.249E-01
6400	8.055E-01
6500	9.039E-01
6600	8.165E-01
6700	9.714E-01
6800	1.013E+00
6900	9.588E-01
7000	9.181E-01
7100	8.513E-01
7200	8.580E-01
7300	9.433E-01
7400	9.688E-01
7500	1.047E+00
7600	8.989E-01
7700	8.698E-01
7800	8.782E-01
7900	8.244E-01
8000	8.254E-01
8100	8.767E-01
8200	8.490E-01
8300	9.223E-01
8400	9.780E-01
8500	9.697E-01
8600	9.464E-01
8700	9.496E-01
8800	9.558E-01
8900	1.037E+00
9000	8.481E-01
9100	7.819E-01
9200	8.021E-01
9300	8.494E-01
9400	8.577E-01
9500	1.034E+00
9600	8.846E-01
9700	9.906E-01
9800	1.039E+00
9900	1.108E+00
10000	1.177E+00
11000	9.324E-01
12000	1.034E+00
13000	1.083E+00
14000	9.822E-01
15000	8.989E-01
16000	1.072E+00
17000	8.901E-01
18000	8.818E-01
19000	1.167E+00
20000	8.182E-01
21000	1.063E+00
22000	9.785E-01
23000	8.184E-01
24000	9.935E-01
25000	8.545E-01
26000	1.046E+00
27000	1.236E+00
28000	1.049E+00
29000	8.918E-01
30000	9.850E-01
31000	1.245E+00
32000	9.190E-01
33000	9.016E-01
34000	1.169E+00
35000	1.050E+00
36000	9.413E-01
37000	1.145E+00
38000	1.080E+00
39000	8.961E-01
40000	1.043E+00
41000	9.571E-01
42000	8.534E-01
43000	8.138E-01
44000	8.939E-01
45000	8.033E-01
46000	9.018E-01
47000	9.726E-01
48000	1.093E+00
49000	9.436E-01
50000	8.343E-01
51000	9.840E-01
52000	8.025E-01
53000	1.129E+00
54000	9.087E-01
55000	9.646E-01
56000	8.003E-01
57000	1.116E+00
58000	9.692E-01
59000	8.821E-01
60000	9.093E-01
61000	9.124E-01
62000	9.178E-01
63000	1.054E+00
64000	1.205E+00
65000	9.701E-01
66000	9.601E-01
67000	1.006E+00
68000	1.052E+00
69000	8.988E-01
70000	1.171E+00
71000	8.350E-01
72000	1.006E+00
73000	1.173E+00
74000	9.462E-01
75000	1.066E+00
76000	9.609E-01
77000	9.289E-01
78000	8.265E-01
79000	1.179E+00
80000	1.005E+00
81000	9.141E-01
82000	9.106E-01
83000	1.015E+00
84000	9.332E-01
85000	9.981E-01
86000	1.029E+00
87000	9.544E-01
88000	9.024E-01
89000	1.072E+00
90000	1.098E+00
91000	9.884E-01
92000	8.357E-01
93000	8.665E-01
94000	8.329E-01
95000	9.298E-01
96000	1.167E+00
97000	1.196E+00
98000	9.626E-01
99000	7.986E-01
100000	1.002E+00
110000	9.715E-01
120000	1.013E+00
130000	9.785E-01
140000	8.992E-01
150000	1.201E+00
160000	9.687E-01
170000	9.311E-01
180000	1.084E+00
190000	1.008E+00
200000	1.077E+00
210000	9.787E-01
220000	1.056E+00
230000	8.860E-01
240000	1.086E+00
250000	9.210E-01
260000	9.093E-01
270000	9.685E-01
280000	1.009E+00
290000	8.974E-01
300000	1.061E+00
310000	1.022E+00
320000	1.354E+00
330000	9.190E-01
340000	8.904E-01
350000	7.893E-01
360000	9.382E-01
370000	8.473E-01
380000	8.032E-01
390000	8.334E-01
400000	8.968E-01
410000	8.905E-01
420000	9.881E-01
430000	9.860E-01
440000	1.080E+00
450000	8.412E-01
460000	7.612E-01
470000	9.270E-01
480000	1.002E+00
490000	9.543E-01
500000	8.571E-01
510000	1.131E+00
520000	1.025E+00
530000	8.780E-01
540000	9.687E-01
550000	1.069E+00
560000	1.156E+00
570000	9.441E-01
580000	9.995E-01
590000	1.047E+00
600000	9.781E-01
610000	1.158E+00
620000	9.247E-01
630000	9.984E-01
640000	9.377E-01
650000	8.479E-01
660000	1.026E+00
670000	1.194E+00
680000	9.933E-01
690000	1.047E+00
700000	1.000E+00
710000	1.008E+00
720000	1.083E+00
730000	8.643E-01
740000	8.371E-01
750000	8.610E-01
760000	9.372E-01
770000	1.056E+00
780000	8.590E-01
790000	1.422E+00
800000	1.103E+00
810000	8.259E-01
820000	9.636E-01
830000	8.962E-01
840000	8.951E-01
850000	1.203E+00
860000	1.078E+00
870000	1.269E+00
880000	1.143E+00
890000	9.937E-01
900000	1.044E+00
910000	7.190E-01
920000	9.045E-01
930000	1.058E+00
940000	1.175E+00
950000	9.742E-01
960000	8.086E-01
970000	1.021E+00
980000	1.022E+00
990000	1.095E+00
1000000	9.316E-01
1100000	9.036E-01
1200000	9.877E-01
1300000	9.738E-01
1400000	1.038E+00
1500000	8.782E-01
1600000	1.066E+00
1700000	8.886E-01
1800000	9.516E-01
1900000	9.062E-01
2000000	9.528E-01
2100000	8.058E-01
2200000	7.723E-01
2300000	9.169E-01
2400000	9.353E-01
2500000	1.134E+00
2600000	9.168E-01
2700000	9.908E-01
2800000	9.433E-01
2900000	9.296E-01
3000000	9.073E-01
3100000	1.020E+00
3200000	9.606E-01
3300000	1.129E+00
3400000	9.907E-01
3500000	1.232E+00
3600000	9.608E-01
3700000	7.645E-01
3800000	8.447E-01
3900000	1.007E+00
4000000	1.081E+00
4100000	1.053E+00
4200000	1.029E+00
4300000	8.897E-01
4400000	9.240E-01
4500000	9.614E-01
4600000	1.017E+00
4700000	8.879E-01
4800000	9.909E-01
4900000	1.018E+00
5000000	1.004E+00
5100000	1.139E+00
5200000	9.165E-01
5300000	7.885E-01
5400000	9.838E-01
5500000	8.679E-01
5600000	9.326E-01
5700000	8.258E-01
5800000	1.104E+00
5900000	1.045E+00
6000000	7.513E-01
6100000	9.904E-01
6200000	1.071E+00
6300000	1.082E+00
6400000	8.110E-01
6500000	9.508E-01
6600000	9.688E-01
6700000	9.380E-01
6800000	1.318E+00
6900000	1.126E+00
7000000	9.298E-01
7100000	8.584E-01
7200000	1.137E+00
7300000	1.159E+00
7400000	8.708E-01
7500000	8.561E-01
7600000	8.761E-01
7700000	8.969E-01
7800000	1.193E+00
7900000	8.768E-01
8000000	9.593E-01
8100000	1.035E+00
8200000	9.599E-01
8300000	1.048E+00
8400000	7.789E-01
8500000	9.469E-01
8600000	1.237E+00
8700000	9.314E-01
8800000	9.575E-01
8900000	7.789E-01
9000000	1.278E+00
9100000	1.024E+00
9200000	8.004E-01
9300000	9.525E-01
9400000	9.398E-01
9500000	1.183E+00
9600000	9.005E-01
9700000	9.659E-01
9800000	1.100E+00
9900000	1.097E+00
