k	V
0	1.091E-03
1	3.334E-03
2	4.578E-03
3	4.701E-03
4	4.702E-03
5	4.847E-03
6	5.909E-03
7	8.970E-03
8	9.731E-03
9	9.845E-03
10	9.848E-03
11	9.858E-03
12	1.005E-02
13	1.095E-02
14	1.095E-02
15	1.196E-02
16	1.564E-02
17	1.668E-02
18	1.685E-02
19	1.761E-02
20	1.865E-02
21	2.235E-02
22	2.329E-02
23	2.360E-02
24	2.657E-02
25	2.703E-02
26	2.812E-02
27	2.844E-02
28	3.052E-02
29	3.280E-02
30	3.288E-02
31	3.349E-02
32	3.505E-02
33	3.561E-02
34	3.790E-02
35	4.098E-02
36	4.388E-02
37	4.949E-02
38	5.056E-02
39	5.080E-02
40	5.097E-02
41	5.277E-02
42	5.325E-02
43	5.437E-02
44	5.618E-02
45	5.843E-02
46	5.912E-02
47	6.071E-02
48	6.057E-02
49	6.057E-02
50	6.058E-02
51	6.250E-02
52	6.262E-02
53	6.310E-02
54	6.495E-02
55	6.518E-02
56	6.644E-02
57	6.648E-02
58	6.841E-02
59	6.917E-02
60	7.199E-02
61	7.409E-02
62	7.596E-02
63	7.697E-02
64	8.001E-02
65	8.002E-02
66	8.066E-02
67	8.089E-02
68	8.161E-02
69	8.181E-02
70	8.476E-02
71	8.463E-02
72	8.472E-02
73	8.716E-02
74	8.825E-02
75	8.934E-02
76	9.043E-02
77	8.969E-02
78	9.011E-02
79	9.136E-02
80	9.141E-02
81	9.156E-02
82	9.187E-02
83	9.119E-02
84	9.287E-02
85	9.191E-02
86	9.278E-02
87	9.325E-02
88	9.354E-02
89	1.000E-01
90	1.002E-01
91	1.002E-01
92	1.006E-01
93	1.016E-01
94	1.026E-01
95	1.027E-01
96	1.056E-01
97	1.068E-01
98	1.068E-01
99	1.072E-01
100	1.073E-01
110	1.172E-01
120	1.267E-01
130	1.387E-01
140	1.543E-01
150	1.659E-01
160	1.722E-01
170	1.809E-01
180	1.916E-01
190	1.976E-01
200	2.096E-01
210	2.233E-01
220	2.325E-01
230	2.442E-01
240	2.676E-01
250	2.825E-01
260	2.934E-01
270	3.159E-01
280	3.348E-01
290	3.378E-01
300	3.425E-01
310	3.455E-01
320	3.565E-01
330	3.613E-01
340	3.734E-01
350	3.770E-01
360	3.821E-01
370	3.963E-01
380	4.060E-01
390	4.082E-01
400	4.179E-01
410	4.280E-01
420	4.332E-01
430	4.392E-01
440	4.459E-01
450	4.527E-01
460	4.696E-01
470	4.724E-01
480	4.663E-01
490	4.696E-01
500	4.750E-01
510	4.884E-01
520	4.901E-01
530	4.912E-01
540	4.929E-01
550	4.942E-01
560	4.943E-01
570	5.000E-01
580	5.208E-01
590	5.264E-01
600	5.355E-01
610	5.371E-01
620	5.361E-01
630	5.387E-01
640	5.456E-01
650	5.476E-01
660	5.542E-01
670	5.519E-01
680	5.650E-01
690	5.720E-01
700	5.731E-01
710	5.741E-01
720	5.749E-01
730	5.812E-01
740	5.963E-01
750	5.986E-01
760	6.184E-01
770	6.450E-01
780	6.415E-01
790	6.464E-01
800	6.444E-01
810	6.578E-01
820	6.652E-01
830	6.749E-01
840	6.794E-01
850	6.804E-01
860	6.756E-01
870	6.694E-01
880	6.628E-01
890	6.605E-01
900	6.770E-01
910	6.776E-01
920	7.027E-01
930	7.001E-01
940	7.005E-01
950	7.081E-01
960	7.012E-01
970	6.972E-01
980	6.987E-01
990	7.001E-01
1000	6.814E-01
1100	7.625E-01
1200	7.595E-01
1300	7.989E-01
1400	8.124E-01
1500	8.186E-01
1600	8.230E-01
1700	8.438E-01
1800	8.190E-01
1900	7.984E-01
2000	8.334E-01
2100	8.347E-01
2200	8.583E-01
2300	8.931E-01
2400	8.588E-01
2500	9.472E-01
2600	1.009E+00
2700	9.670E-01
2800	9.938E-01
2900	9.668E-01
3000	9.411E-01
3100	9.413E-01
3200	9.018E-01
3300	9.013E-01
3400	9.169E-01
3500	9.420E-01
3600	9.297E-01
3700	9.265E-01
3800	9.008E-01
3900	9.670E-01
4000	9.596E-01
4100	9.828E-01
4200	9.640E-01
4300	1.020E+00
4400	1.042E+00
4500	9.987E-01
4600	1.004E+00
4700	9.978E-01
4800	1.013E+00
4900	1.022E+00
5000	9.762E-01
5100	9.969E-01
5200	9.890E-01
5300	9.611E-01
5400	9.920E-01
5500	1.094E+00
5600	1.036E+00
5700	1.023E+00
5800	9.801E-01
5900	1.035E+00
6000	1.098E+00
6100	1.071E+00
6200	1.036E+00
6300	1.063E+00
6400	1.046E+00
6500	1.073E+00
6600	1.098E+00
6700	1.045E+00
6800	1.075E+00
6900	1.092E+00
7000	1.089E+00
7100	1.133E+00
7200	1.053E+00
7300	1.083E+00
7400	1.006E+00
7500	9.714E-01
7600	9.365E-01
7700	9.490E-01
7800	9.332E-01
7900	9.687E-01
8000	9.519E-01
8100	9.517E-01
8200	8.945E-01
8300	9.020E-01
8400	9.168E-01
8500	9.035E-01
8600	9.071E-01
8700	9.061E-01
8800	8.517E-01
8900	8.385E-01
9000	8.603E-01
9100	8.462E-01
9200	8.631E-01
9300	8.942E-01
9400	9.574E-01
9500	9.855E-01
9600	9.894E-01
9700	9.860E-01
9800	9.754E-01
9900	9.623E-01
10000	9.290E-01
11000	9.029E-01
12000	1.099E+00
13000	1.058E+00
14000	1.160E+00
15000	1.059E+00
16000	1.187E+00
17000	1.039E+00
18000	1.025E+00
19000	1.029E+00
20000	9.717E-01
21000	1.080E+00
22000	9.082E-01
23000	1.047E+00
24000	9.728E-01
25000	8.921E-01
26000	9.589E-01
27000	9.383E-01
28000	9.732E-01
29000	1.076E+00
30000	9.670E-01
31000	9.114E-01
32000	8.672E-01
33000	9.443E-01
34000	9.064E-01
35000	9.006E-01
36000	1.030E+00
37000	1.072E+00
38000	8.682E-01
39000	9.135E-01
40000	8.422E-01
41000	1.027E+00
42000	9.922E-01
43000	9.644E-01
44000	9.394E-01
45000	1.096E+00
46000	9.595E-01
47000	9.762E-01
48000	9.865E-01
49000	9.845E-01
50000	1.086E+00
51000	1.098E+00
52000	1.149E+00
53000	9.948E-01
54000	1.022E+00
55000	9.566E-01
56000	8.721E-01
57000	9.092E-01
58000	1.043E+00
59000	1.021E+00
60000	1.100E+00
61000	1.025E+00
62000	9.302E-01
63000	1.042E+00
64000	1.121E+00
65000	1.161E+00
66000	1.116E+00
67000	9.596E-01
68000	1.079E+00
69000	1.143E+00
70000	1.046E+00
71000	1.014E+00
72000	9.362E-01
73000	1.057E+00
74000	8.852E-01
75000	1.098E+00
76000	9.903E-01
77000	9.482E-01
78000	9.799E-01
79000	9.044E-01
80000	8.743E-01
81000	9.266E-01
82000	9.974E-01
83000	8.742E-01
84000	1.010E+00
85000	9.760E-01
86000	9.089E-01
87000	9.785E-01
88000	1.036E+00
89000	9.981E-01
90000	1.050E+00
91000	9.889E-01
92000	1.037E+00
93000	1.024E+00
94000	1.053E+00
95000	9.225E-01
96000	9.011E-01
97000	8.595E-01
98000	9.514E-01
99000	1.076E+00
100000	1.174E+00
110000	1.014E+00
120000	8.825E-01
130000	9.249E-01
140000	9.648E-01
150000	9.843E-01
160000	1.064E+00
170000	1.032E+00
180000	9.221E-01
190000	1.071E+00
200000	1.163E+00
210000	1.007E+00
220000	1.102E+00
230000	8.755E-01
240000	9.966E-01
250000	1.040E+00
260000	9.832E-01
270000	1.005E+00
280000	9.526E-01
290000	1.032E+00
300000	9.761E-01
310000	1.094E+00
320000	9.776E-01
330000	1.094E+00
340000	9.554E-01
350000	9.924E-01
360000	9.115E-01
370000	9.498E-01
380000	1.271E+00
390000	1.126E+00
400000	1.057E+00
410000	8.520E-01
420000	1.090E+00
430000	9.441E-01
440000	9.678E-01
450000	9.066E-01
460000	1.137E+00
470000	9.973E-01
480000	9.970E-01
490000	1.197E+00
500000	9.983E-01
510000	1.075E+00
520000	1.050E+00
530000	9.850E-01
540000	9.269E-01
550000	9.859E-01
560000	9.618E-01
570000	1.140E+00
580000	1.022E+00
590000	1.040E+00
600000	1.037E+00
610000	1.010E+00
620000	1.111E+00
630000	1.062E+00
640000	1.027E+00
650000	9.433E-01
660000	1.081E+00
670000	1.034E+00
680000	9.905E-01
690000	8.598E-01
700000	1.021E+00
710000	9.478E-01
720000	9.641E-01
730000	1.039E+00
740000	8.810E-01
750000	9.798E-01
760000	9.062E-01
770000	9.114E-01
780000	9.970E-01
790000	9.911E-01
800000	9.244E-01
810000	1.037E+00
820000	9.619E-01
830000	1.021E+00
840000	9.971E-01
850000	1.107E+00
860000	1.028E+00
870000	1.022E+00
880000	9.459E-01
890000	9.173E-01
900000	9.716E-01
910000	1.012E+00
920000	9.743E-01
930000	1.156E+00
940000	9.290E-01
950000	1.102E+00
960000	8.299E-01
970000	9.307E-01
980000	1.074E+00
990000	1.088E+00
1000000	1.122E+00
1100000	8.682E-01
1200000	9.464E-01
1300000	1.111E+00
1400000	9.456E-01
1500000	9.657E-01
1600000	9.313E-01
1700000	9.776E-01
1800000	9.703E-01
1900000	1.048E+00
2000000	9.295E-01
2100000	9.643E-01
2200000	1.036E+00
2300000	1.194E+00
2400000	9.681E-01
2500000	1.001E+00
2600000	1.087E+00
2700000	9.294E-01
2800000	8.415E-01
2900000	9.528E-01
