k	V
0	3.989E-03
1	4.704E-03
2	4.859E-03
3	7.936E-03
4	1.091E-02
5	1.091E-02
6	1.483E-02
7	1.793E-02
8	1.940E-02
9	1.987E-02
10	2.083E-02
11	2.151E-02
12	2.152E-02
13	2.055E-02
14	2.454E-02
15	2.577E-02
16	2.654E-02
17	2.988E-02
18	3.293E-02
19	3.463E-02
20	3.566E-02
21	3.910E-02
22	3.895E-02
23	4.006E-02
24	4.169E-02
25	4.403E-02
26	4.439E-02
27	4.638E-02
28	4.946E-02
29	4.964E-02
30	4.965E-02
31	5.111E-02
32	5.285E-02
33	5.504E-02
34	5.419E-02
35	5.794E-02
36	6.079E-02
37	6.079E-02
38	6.447E-02
39	6.832E-02
40	6.892E-02
41	6.894E-02
42	6.858E-02
43	6.868E-02
44	6.948E-02
45	6.971E-02
46	6.972E-02
47	6.891E-02
48	7.192E-02
49	7.257E-02
50	7.274E-02
51	7.248E-02
52	7.310E-02
53	7.474E-02
54	7.749E-02
55	7.804E-02
56	7.821E-02
57	7.923E-02
58	8.331E-02
59	8.347E-02
60	8.538E-02
61	8.934E-02
62	8.956E-02
63	8.959E-02
64	9.328E-02
65	9.486E-02
66	9.486E-02
67	9.510E-02
68	9.767E-02
69	9.875E-02
70	1.021E-01
71	1.017E-01
72	1.017E-01
73	1.023E-01
74	1.045E-01
75	1.067E-01
76	1.068E-01
77	1.069E-01
78	1.059E-01
79	1.052E-01
80	1.056E-01
81	1.072E-01
82	1.071E-01
83	1.067E-01
84	1.081E-01
85	1.082E-01
86	1.085E-01
87	1.075E-01
88	1.076E-01
89	1.097E-01
90	1.099E-01
91	1.117E-01
92	1.142E-01
93	1.142E-01
94	1.142E-01
95	1.142E-01
96	1.142E-01
97	1.143E-01
98	1.154E-01
99	1.204E-01
100	1.217E-01
110	1.321E-01
120	1.429E-01
130	1.514E-01
140	1.635E-01
150	1.809E-01
160	1.850E-01
170	2.012E-01
180	2.048E-01
190	2.142E-01
200	2.156E-01
210	2.196E-01
220	2.231E-01
230	2.351E-01
240	2.504E-01
250	2.585E-01
260	2.673E-01
270	2.708E-01
280	2.779E-01
290	2.909E-01
300	2.928E-01
310	3.012E-01
320	3.147E-01
330	3.303E-01
340	3.363E-01
350	3.422E-01
360	3.470E-01
370	3.634E-01
380	3.669E-01
390	3.706E-01
400	3.655E-01
410	3.652E-01
420	3.648E-01
430	3.671E-01
440	3.905E-01
450	3.872E-01
460	3.989E-01
470	4.047E-01
480	4.131E-01
490	4.149E-01
500	4.136E-01
510	4.312E-01
520	4.428E-01
530	4.493E-01
540	4.493E-01
550	4.513E-01
560	4.527E-01
570	4.568E-01
580	4.565E-01
590	4.747E-01
600	4.800E-01
610	4.899E-01
620	5.006E-01
630	4.969E-01
640	5.041E-01
650	5.125E-01
660	5.116E-01
670	5.095E-01
680	5.131E-01
690	5.196E-01
700	5.363E-01
710	5.372E-01
720	5.373E-01
730	5.350E-01
740	5.454E-01
750	5.516E-01
760	5.615E-01
770	5.773E-01
780	5.845E-01
790	5.835E-01
800	5.821E-01
810	5.946E-01
820	5.992E-01
830	6.203E-01
840	6.280E-01
850	6.603E-01
860	6.682E-01
870	6.849E-01
880	6.883E-01
890	6.903E-01
900	7.102E-01
910	7.098E-01
920	7.122E-01
930	7.237E-01
940	7.498E-01
950	7.624E-01
960	7.564E-01
970	7.530E-01
980	7.585E-01
990	7.481E-01
1000	7.484E-01
1100	7.189E-01
1200	7.525E-01
1300	8.180E-01
1400	8.016E-01
1500	8.139E-01
1600	8.540E-01
1700	9.247E-01
1800	9.694E-01
1900	1.023E+00
2000	1.025E+00
2100	1.014E+00
2200	1.017E+00
2300	9.693E-01
2400	9.631E-01
2500	9.388E-01
2600	8.711E-01
2700	8.711E-01
2800	9.045E-01
2900	8.543E-01
3000	8.901E-01
3100	9.023E-01
3200	9.175E-01
3300	8.917E-01
3400	8.326E-01
3500	8.438E-01
3600	8.224E-01
3700	7.971E-01
3800	8.196E-01
3900	8.636E-01
4000	8.596E-01
4100	8.928E-01
4200	8.598E-01
4300	9.045E-01
4400	9.698E-01
4500	1.067E+00
4600	9.722E-01
4700	1.024E+00
4800	1.014E+00
4900	1.119E+00
5000	1.117E+00
5100	1.059E+00
5200	1.055E+00
5300	1.078E+00
5400	1.024E+00
5500	1.010E+00
5600	9.765E-01
5700	9.595E-01
5800	9.908E-01
5900	9.518E-01
6000	9.116E-01
6100	9.412E-01
6200	9.450E-01
6300	9.285E-01
6400	9.523E-01
6500	1.049E+00
6600	1.028E+00
6700	9.589E-01
6800	9.636E-01
6900	1.038E+00
7000	1.044E+00
7100	9.187E-01
7200	9.179E-01
7300	8.955E-01
7400	9.633E-01
7500	9.724E-01
7600	1.002E+00
7700	1.105E+00
7800	1.030E+00
7900	1.070E+00
8000	1.081E+00
8100	1.044E+00
8200	1.063E+00
8300	1.131E+00
8400	1.131E+00
8500	1.014E+00
8600	1.007E+00
8700	9.788E-01
8800	9.697E-01
8900	9.941E-01
9000	9.842E-01
9100	9.724E-01
9200	1.087E+00
9300	1.078E+00
9400	1.102E+00
9500	1.080E+00
9600	1.086E+00
9700	1.028E+00
9800	9.430E-01
9900	9.716E-01
10000	9.746E-01
11000	9.848E-01
12000	1.155E+00
13000	1.032E+00
14000	9.252E-01
15000	9.908E-01
16000	1.176E+00
17000	1.026E+00
18000	9.525E-01
19000	8.945E-01
20000	1.005E+00
21000	1.017E+00
22000	1.064E+00
23000	1.033E+00
24000	9.111E-01
25000	8.456E-01
26000	1.172E+00
27000	1.082E+00
28000	9.440E-01
29000	9.757E-01
30000	9.058E-01
31000	8.987E-01
32000	1.066E+00
33000	1.000E+00
34000	1.072E+00
35000	9.561E-01
36000	1.061E+00
37000	1.060E+00
38000	9.955E-01
39000	1.102E+00
40000	9.428E-01
41000	9.884E-01
42000	9.132E-01
43000	9.554E-01
44000	9.919E-01
45000	1.012E+00
46000	1.066E+00
47000	8.580E-01
48000	8.429E-01
49000	1.064E+00
50000	1.004E+00
51000	1.165E+00
52000	1.076E+00
53000	1.095E+00
54000	1.114E+00
55000	1.010E+00
56000	1.244E+00
57000	1.129E+00
58000	1.001E+00
59000	1.101E+00
60000	9.559E-01
61000	9.937E-01
62000	1.105E+00
63000	1.071E+00
64000	1.119E+00
65000	9.952E-01
66000	9.772E-01
67000	9.632E-01
68000	9.558E-01
69000	1.005E+00
70000	8.022E-01
71000	1.105E+00
72000	1.071E+00
73000	1.025E+00
74000	1.077E+00
75000	1.086E+00
76000	1.037E+00
77000	9.401E-01
78000	9.951E-01
79000	9.935E-01
80000	1.045E+00
81000	9.485E-01
82000	9.817E-01
83000	1.045E+00
84000	9.719E-01
85000	9.060E-01
86000	1.092E+00
87000	9.073E-01
88000	9.194E-01
89000	8.878E-01
90000	1.012E+00
91000	1.090E+00
92000	1.062E+00
93000	9.448E-01
94000	9.522E-01
95000	8.879E-01
96000	1.030E+00
97000	1.268E+00
98000	1.032E+00
99000	1.105E+00
100000	8.816E-01
110000	8.883E-01
120000	9.810E-01
130000	9.459E-01
140000	1.018E+00
150000	1.021E+00
160000	1.015E+00
170000	1.147E+00
180000	8.255E-01
190000	9.703E-01
200000	9.746E-01
210000	1.018E+00
220000	8.671E-01
230000	9.498E-01
240000	9.453E-01
250000	8.171E-01
260000	1.051E+00
270000	8.771E-01
280000	9.002E-01
290000	8.619E-01
300000	9.137E-01
310000	1.015E+00
320000	1.150E+00
330000	9.959E-01
340000	9.841E-01
350000	9.987E-01
360000	1.137E+00
370000	1.111E+00
380000	1.087E+00
390000	1.005E+00
400000	1.147E+00
410000	9.655E-01
420000	1.039E+00
430000	1.070E+00
440000	9.133E-01
450000	1.017E+00
460000	9.479E-01
470000	9.733E-01
480000	9.803E-01
490000	9.426E-01
500000	1.033E+00
510000	9.745E-01
520000	1.043E+00
530000	8.264E-01
540000	8.607E-01
550000	1.155E+00
560000	1.030E+00
570000	9.472E-01
580000	9.915E-01
590000	1.030E+00
600000	9.021E-01
610000	9.999E-01
620000	9.338E-01
630000	9.652E-01
640000	8.488E-01
