m_start	m_end	count	relcount
0.000E+00	1.000E-02	0	0.000E+00
1.000E-02	2.000E-02	0	0.000E+00
2.000E-02	3.000E-02	0	0.000E+00
3.000E-02	4.000E-02	0	0.000E+00
4.000E-02	5.000E-02	0	0.000E+00
5.000E-02	6.000E-02	0	0.000E+00
6.000E-02	7.000E-02	0	0.000E+00
7.000E-02	8.000E-02	0	0.000E+00
8.000E-02	9.000E-02	0	0.000E+00
9.000E-02	1.000E-01	0	0.000E+00
1.000E-01	1.100E-01	0	0.000E+00
1.100E-01	1.200E-01	0	0.000E+00
1.200E-01	1.300E-01	0	0.000E+00
1.300E-01	1.400E-01	0	0.000E+00
1.400E-01	1.500E-01	0	0.000E+00
1.500E-01	1.600E-01	0	0.000E+00
1.600E-01	1.700E-01	0	0.000E+00
1.700E-01	1.800E-01	0	0.000E+00
1.800E-01	1.900E-01	0	0.000E+00
1.900E-01	2.000E-01	0	0.000E+00
2.000E-01	2.100E-01	0	0.000E+00
2.100E-01	2.200E-01	0	0.000E+00
2.200E-01	2.300E-01	0	0.000E+00
2.300E-01	2.400E-01	0	0.000E+00
2.400E-01	2.500E-01	0	0.000E+00
2.500E-01	2.600E-01	0	0.000E+00
2.600E-01	2.700E-01	0	0.000E+00
2.700E-01	2.800E-01	0	0.000E+00
2.800E-01	2.900E-01	0	0.000E+00
2.900E-01	3.000E-01	0	0.000E+00
3.000E-01	3.100E-01	0	0.000E+00
3.100E-01	3.200E-01	0	0.000E+00
3.200E-01	3.300E-01	0	0.000E+00
3.300E-01	3.400E-01	0	0.000E+00
3.400E-01	3.500E-01	0	0.000E+00
3.500E-01	3.600E-01	0	0.000E+00
3.600E-01	3.700E-01	1	2.000E-06
3.700E-01	3.800E-01	1	2.000E-06
3.800E-01	3.900E-01	1	2.000E-06
3.900E-01	4.000E-01	3	6.000E-06
4.000E-01	4.100E-01	2	4.000E-06
4.100E-01	4.200E-01	12	2.400E-05
4.200E-01	4.300E-01	5	1.000E-05
4.300E-01	4.400E-01	7	1.400E-05
4.400E-01	4.500E-01	17	3.400E-05
4.500E-01	4.600E-01	22	4.400E-05
4.600E-01	4.700E-01	26	5.200E-05
4.700E-01	4.800E-01	47	9.400E-05
4.800E-01	4.900E-01	55	1.100E-04
4.900E-01	5.000E-01	77	1.540E-04
5.000E-01	5.100E-01	102	2.040E-04
5.100E-01	5.200E-01	121	2.420E-04
5.200E-01	5.300E-01	177	3.540E-04
5.300E-01	5.400E-01	211	4.220E-04
5.400E-01	5.500E-01	283	5.660E-04
5.500E-01	5.600E-01	349	6.980E-04
5.600E-01	5.700E-01	427	8.540E-04
5.700E-01	5.800E-01	484	9.680E-04
5.800E-01	5.900E-01	594	1.188E-03
5.900E-01	6.000E-01	738	1.476E-03
6.000E-01	6.100E-01	819	1.638E-03
6.100E-01	6.200E-01	999	1.998E-03
6.200E-01	6.300E-01	1188	2.376E-03
6.300E-01	6.400E-01	1340	2.680E-03
6.400E-01	6.500E-01	1576	3.152E-03
6.500E-01	6.600E-01	1806	3.612E-03
6.600E-01	6.700E-01	2149	4.298E-03
6.700E-01	6.800E-01	2235	4.470E-03
6.800E-01	6.900E-01	2605	5.210E-03
6.900E-01	7.000E-01	2954	5.908E-03
7.000E-01	7.100E-01	3319	6.638E-03
7.100E-01	7.200E-01	3576	7.152E-03
7.200E-01	7.300E-01	3974	7.948E-03
7.300E-01	7.400E-01	4264	8.528E-03
7.400E-01	7.500E-01	4831	9.662E-03
7.500E-01	7.600E-01	5064	1.013E-02
7.600E-01	7.700E-01	5573	1.115E-02
7.700E-01	7.800E-01	5804	1.161E-02
7.800E-01	7.900E-01	6390	1.278E-02
7.900E-01	8.000E-01	6797	1.359E-02
8.000E-01	8.100E-01	7152	1.430E-02
8.100E-01	8.200E-01	7536	1.507E-02
8.200E-01	8.300E-01	7728	1.546E-02
8.300E-01	8.400E-01	8373	1.675E-02
8.400E-01	8.500E-01	8553	1.711E-02
8.500E-01	8.600E-01	8694	1.739E-02
8.600E-01	8.700E-01	9023	1.805E-02
8.700E-01	8.800E-01	9404	1.881E-02
8.800E-01	8.900E-01	9656	1.931E-02
8.900E-01	9.000E-01	9803	1.961E-02
9.000E-01	9.100E-01	10204	2.041E-02
9.100E-01	9.200E-01	10232	2.046E-02
9.200E-01	9.300E-01	10600	2.120E-02
9.300E-01	9.400E-01	10467	2.093E-02
9.400E-01	9.500E-01	10616	2.123E-02
9.500E-01	9.600E-01	10691	2.138E-02
9.600E-01	9.700E-01	10817	2.163E-02
9.700E-01	9.800E-01	10754	2.151E-02
9.800E-01	9.900E-01	10668	2.134E-02
9.900E-01	1.000E+00	10626	2.125E-02
1.000E+00	1.010E+00	10339	2.068E-02
1.010E+00	1.020E+00	10281	2.056E-02
1.020E+00	1.030E+00	10195	2.039E-02
1.030E+00	1.040E+00	10015	2.003E-02
1.040E+00	1.050E+00	9790	1.958E-02
1.050E+00	1.060E+00	9522	1.904E-02
1.060E+00	1.070E+00	9239	1.848E-02
1.070E+00	1.080E+00	9073	1.815E-02
1.080E+00	1.090E+00	8694	1.739E-02
1.090E+00	1.100E+00	8537	1.707E-02
1.100E+00	1.110E+00	8292	1.658E-02
1.110E+00	1.120E+00	7944	1.589E-02
1.120E+00	1.130E+00	7814	1.563E-02
1.130E+00	1.140E+00	7369	1.474E-02
1.140E+00	1.150E+00	7004	1.401E-02
1.150E+00	1.160E+00	6770	1.354E-02
1.160E+00	1.170E+00	6433	1.287E-02
1.170E+00	1.180E+00	6025	1.205E-02
1.180E+00	1.190E+00	5850	1.170E-02
1.190E+00	1.200E+00	5466	1.093E-02
1.200E+00	1.210E+00	5194	1.039E-02
1.210E+00	1.220E+00	5008	1.002E-02
1.220E+00	1.230E+00	4631	9.262E-03
1.230E+00	1.240E+00	4393	8.786E-03
1.240E+00	1.250E+00	4060	8.120E-03
1.250E+00	1.260E+00	3949	7.898E-03
1.260E+00	1.270E+00	3466	6.932E-03
1.270E+00	1.280E+00	3336	6.672E-03
1.280E+00	1.290E+00	3152	6.304E-03
1.290E+00	1.300E+00	2925	5.850E-03
1.300E+00	1.310E+00	2713	5.426E-03
1.310E+00	1.320E+00	2502	5.004E-03
1.320E+00	1.330E+00	2372	4.744E-03
1.330E+00	1.340E+00	2171	4.342E-03
1.340E+00	1.350E+00	2018	4.036E-03
1.350E+00	1.360E+00	1892	3.784E-03
1.360E+00	1.370E+00	1704	3.408E-03
1.370E+00	1.380E+00	1632	3.264E-03
1.380E+00	1.390E+00	1455	2.910E-03
1.390E+00	1.400E+00	1320	2.640E-03
1.400E+00	1.410E+00	1231	2.462E-03
1.410E+00	1.420E+00	1083	2.166E-03
1.420E+00	1.430E+00	1045	2.090E-03
1.430E+00	1.440E+00	906	1.812E-03
1.440E+00	1.450E+00	873	1.746E-03
1.450E+00	1.460E+00	769	1.538E-03
1.460E+00	1.470E+00	746	1.492E-03
1.470E+00	1.480E+00	587	1.174E-03
1.480E+00	1.490E+00	582	1.164E-03
1.490E+00	1.500E+00	525	1.050E-03
1.500E+00	1.510E+00	434	8.680E-04
1.510E+00	1.520E+00	411	8.220E-04
1.520E+00	1.530E+00	408	8.160E-04
1.530E+00	1.540E+00	361	7.220E-04
1.540E+00	1.550E+00	330	6.600E-04
1.550E+00	1.560E+00	281	5.620E-04
1.560E+00	1.570E+00	264	5.280E-04
1.570E+00	1.580E+00	221	4.420E-04
1.580E+00	1.590E+00	212	4.240E-04
1.590E+00	1.600E+00	176	3.520E-04
1.600E+00	1.610E+00	154	3.080E-04
1.610E+00	1.620E+00	162	3.240E-04
1.620E+00	1.630E+00	129	2.580E-04
1.630E+00	1.640E+00	118	2.360E-04
1.640E+00	1.650E+00	103	2.060E-04
1.650E+00	1.660E+00	95	1.900E-04
1.660E+00	1.670E+00	77	1.540E-04
1.670E+00	1.680E+00	61	1.220E-04
1.680E+00	1.690E+00	72	1.440E-04
1.690E+00	1.700E+00	40	8.000E-05
1.700E+00	1.710E+00	41	8.200E-05
1.710E+00	1.720E+00	45	9.000E-05
1.720E+00	1.730E+00	31	6.200E-05
1.730E+00	1.740E+00	40	8.000E-05
1.740E+00	1.750E+00	30	6.000E-05
1.750E+00	1.760E+00	30	6.000E-05
1.760E+00	1.770E+00	22	4.400E-05
1.770E+00	1.780E+00	13	2.600E-05
1.780E+00	1.790E+00	18	3.600E-05
1.790E+00	1.800E+00	16	3.200E-05
1.800E+00	1.810E+00	13	2.600E-05
1.810E+00	1.820E+00	9	1.800E-05
1.820E+00	1.830E+00	7	1.400E-05
1.830E+00	1.840E+00	7	1.400E-05
1.840E+00	1.850E+00	7	1.400E-05
1.850E+00	1.860E+00	15	3.000E-05
1.860E+00	1.870E+00	5	1.000E-05
1.870E+00	1.880E+00	6	1.200E-05
1.880E+00	1.890E+00	3	6.000E-06
1.890E+00	1.900E+00	1	2.000E-06
1.900E+00	1.910E+00	5	1.000E-05
1.910E+00	1.920E+00	2	4.000E-06
1.920E+00	1.930E+00	4	8.000E-06
1.930E+00	1.940E+00	1	2.000E-06
1.940E+00	1.950E+00	0	0.000E+00
1.950E+00	1.960E+00	1	2.000E-06
1.960E+00	1.970E+00	1	2.000E-06
1.970E+00	1.980E+00	1	2.000E-06
1.980E+00	1.990E+00	0	0.000E+00
1.990E+00	2.000E+00	0	0.000E+00
2.000E+00	2.010E+00	0	0.000E+00
2.010E+00	2.020E+00	2	4.000E-06
2.020E+00	2.030E+00	0	0.000E+00
2.030E+00	2.040E+00	0	0.000E+00
2.040E+00	2.050E+00	0	0.000E+00
2.050E+00	2.060E+00	0	0.000E+00
2.060E+00	2.070E+00	1	2.000E-06
2.070E+00	2.070E+00	0	0.000E+00
